0: [[40, 35, 13, 1, 27, 21, 6], [20, 5, 7, 3, 11, 31, 2, 12, 4], [9, 14, 8, 15, 16, 19, 18, 10], [17, 22, 28, 23, 25, 30, 24], [26, 29, 34, 37, 32, 33, 36], [38, 39, 45, 42, 41, 46, 47], [53, 43, 44, 50, 51, 48, 54], [60, 49, 56, 52, 55, 57, 58, 59]]
1: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 18, 6, 8, 17, 23, 13, 16, 15, 19, 28, 31, 10, 21, 22], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
2: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 6, 10, 13, 8, 22, 21, 18, 15, 19, 16, 17, 23, 28, 31], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
3: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 6, 16, 10, 15, 8, 13, 17, 23, 22, 21, 18, 19, 31, 28], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
4: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 8, 16, 10, 15, 6, 13, 22, 19, 17, 21, 18, 28, 23, 31], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
5: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 23, 6, 10, 15, 8, 17, 16, 18, 19, 13, 22, 21, 31, 28], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
6: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 6, 16, 8, 15, 10, 17, 19, 13, 18, 23, 22, 21, 31, 28], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
7: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 6, 16, 10, 15, 8, 17, 18, 23, 13, 21, 22, 19, 31, 28], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
8: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 8, 15, 13, 19, 22, 16, 23, 18, 17, 31, 28, 10, 21, 6], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
9: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 6, 8, 10, 15, 16, 13, 19, 18, 17, 21, 22, 23, 31, 28], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
10: [[40, 35, 12, 1, 27, 20, 2, 7, 11, 3, 4, 30, 24, 14, 9], [5, 6, 18, 8, 15, 31, 21, 13, 22, 19, 10, 16, 17, 23, 28], [25, 26, 29, 39, 34, 33, 32, 36, 38, 37, 45, 42, 43, 46, 44], [53, 41, 47, 48, 50, 49, 55, 60, 51, 57, 52, 54, 59, 58, 56]]
