0: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 15, 1, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
1: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
2: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
3: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
4: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
5: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
6: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
7: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
8: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
9: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
10: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
11: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
12: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
13: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
14: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
15: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
16: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
17: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
18: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
19: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
20: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
21: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
22: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
23: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
24: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
25: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
26: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
27: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
28: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
