0: [[48, 12, 24, 45], [55, 4, 53, 8, 59, 7], [23, 41, 1, 40, 18], [16, 44, 54, 14, 29, 52, 37], [3, 25, 5], [20, 58, 19, 26, 31, 46], [51, 9, 22, 28], [35, 13, 42, 49, 2], [32, 33, 34, 17], [38, 27, 30, 56, 11], [39, 43, 36, 60, 50], [15, 57, 47, 6, 10, 21]]
1: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 15, 10, 21, 28, 13, 18, 16, 19, 22, 23, 30, 26, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
2: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 30, 13, 16, 15, 19, 18, 21, 23, 26, 22, 31, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
3: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 15, 13, 28, 16, 19, 21, 23, 30, 22, 18, 31, 26], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
4: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 31, 13, 26, 19, 23, 15, 16, 18, 21, 22, 28, 30], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
5: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [8, 15, 10, 26, 31, 13, 23, 21, 22, 16, 28, 30, 18, 19, 6], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
6: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 8, 21, 31, 16, 15, 13, 23, 26, 22, 18, 19, 28, 30], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
7: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [10, 28, 6, 15, 8, 13, 23, 16, 18, 19, 26, 22, 30, 21, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
8: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 15, 31, 16, 13, 19, 21, 10, 23, 26, 22, 18, 28, 30], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
9: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 15, 10, 13, 30, 22, 16, 18, 23, 19, 21, 26, 28, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
10: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 13, 8, 15, 31, 18, 23, 16, 21, 26, 19, 28, 22, 30], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
11: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 13, 10, 15, 31, 16, 23, 21, 18, 30, 19, 28, 26, 22], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
12: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 15, 13, 21, 19, 22, 16, 18, 30, 23, 26, 31, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
13: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 15, 13, 31, 19, 21, 16, 28, 26, 23, 18, 22, 30], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
14: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 15, 16, 22, 18, 30, 19, 13, 21, 31, 23, 26, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
15: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 13, 23, 8, 19, 15, 16, 30, 26, 18, 21, 28, 22, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
16: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 8, 15, 16, 19, 18, 13, 21, 30, 23, 26, 28, 22, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
17: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 8, 15, 13, 31, 18, 16, 22, 19, 23, 28, 30, 21, 26], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
18: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 8, 31, 13, 23, 18, 15, 16, 19, 21, 22, 30, 28, 26], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
19: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [26, 8, 13, 31, 15, 19, 16, 23, 22, 18, 30, 28, 10, 21, 6], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
20: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [10, 28, 6, 15, 8, 13, 23, 16, 18, 19, 26, 22, 30, 21, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
21: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 13, 18, 23, 19, 21, 22, 15, 30, 31, 16, 26, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
22: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 13, 18, 23, 31, 16, 26, 15, 30, 19, 21, 28, 22], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
23: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [8, 15, 13, 16, 19, 23, 22, 28, 18, 26, 31, 30, 10, 21, 6], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
24: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 30, 10, 13, 31, 23, 21, 18, 26, 15, 19, 16, 22, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
25: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 31, 15, 13, 30, 18, 10, 19, 16, 22, 21, 26, 23, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
26: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 10, 13, 23, 8, 19, 15, 16, 30, 26, 18, 21, 28, 22, 31], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
27: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [6, 8, 10, 26, 13, 21, 15, 18, 22, 16, 23, 19, 30, 31, 28], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
28: [[35, 20, 17, 7, 2, 14, 3, 4, 12, 5, 27, 24, 11, 1, 9], [8, 30, 13, 19, 23, 15, 22, 31, 16, 18, 26, 28, 10, 21, 6], [25, 29, 37, 40, 34, 33, 32, 38, 44, 36, 39, 43, 45, 42, 47], [46, 41, 49, 51, 52, 50, 48, 54, 53, 55, 56, 57, 59, 58, 60]]
