0: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 5, 2]]
1: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
2: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
3: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
4: [[12, 9, 7, 11], [4, 1, 10, 3], [8, 6, 13, 2, 5]]
5: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
6: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
7: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
8: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
9: [[12, 9, 7, 11], [4, 1, 10, 3], [8, 6, 13, 2, 5]]
10: [[12, 9, 7, 11], [4, 1, 10, 3], [8, 6, 13, 2, 5]]
11: [[12, 9, 7, 11], [4, 1, 10], [3, 8, 6, 13, 2, 5]]
12: [[12, 9, 7, 11], [4, 1, 10, 3, 8], [6, 13, 2, 5]]
13: [[12, 9, 7, 11], [4, 1], [10, 3, 8, 6, 13, 2, 5]]
14: [[12, 9, 7], [11, 4, 1, 10], [3, 8, 6, 13, 2, 5]]
15: [[12, 9, 7], [11, 4, 1, 10, 3], [8, 6, 13, 2, 5]]
16: [[12, 9, 7], [11, 4, 1, 10], [3, 8, 6, 13, 2, 5]]
17: [[12, 9, 7], [11, 4, 1, 10], [3, 8, 6, 13, 2, 5]]
18: [[12, 9, 7], [11, 4, 1, 10], [3, 8, 6, 13, 2, 5]]
19: [[12, 9, 7, 11, 4], [1, 10, 3], [8, 6, 13, 2, 5]]
20: [[12, 9, 7, 11, 4], [1, 10, 3], [8, 6, 13, 2, 5]]
21: [[12, 9, 7, 11, 4], [1, 10, 3], [8, 6, 13, 2, 5]]
22: [[12, 9, 7], [11, 4, 1], [10, 3, 8, 6, 13, 2, 5]]
23: [[12, 9, 7, 11, 4], [1, 10, 3, 8, 6], [13, 2, 5]]
24: [[12, 9, 7, 11, 4], [1, 10, 3, 8], [6, 13, 2, 5]]
25: [[12, 9], [7, 11, 4, 1, 10], [3, 8, 6, 13, 2, 5]]
26: [[12, 9], [7, 11, 4, 1], [10, 3, 8, 6, 13, 2, 5]]
27: [[12, 9], [7, 11, 4, 1], [10, 3, 8, 6, 13, 2, 5]]
