0: [[16, 3, 2, 18], [9, 1], [11, 7], [13, 6], [4, 5], [15, 8], [10, 14], [12, 19, 17, 20, 22], [21, 23, 24]]
1: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14, 12, 19, 17, 20, 22], [21, 23, 24]]
2: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22], [21, 23, 24]]
3: [[16, 3, 2, 18], [9, 1], [11, 7], [13, 6], [4, 5], [15, 8], [10, 14], [12, 19, 17, 20], [22, 21, 23, 24]]
4: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19, 17, 20], [22, 21, 23, 24]]
5: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21, 23, 24]]
6: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21, 23, 24]]
7: [[2, 1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
8: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21], [23, 24]]
9: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21], [23, 24]]
10: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19, 17, 20], [22, 21], [23, 24]]
11: [[16, 3, 2, 18], [9, 1], [11, 7], [13, 6], [4, 5], [15, 8], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
12: [[2], [1, 9], [11, 7, 16], [13, 6], [4, 5, 15], [8, 10, 3, 18], [14, 12], [19, 17], [20, 22], [21, 23, 24]]
13: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
14: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
15: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
16: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
17: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
