0: [[9], [36, 6], [2, 3, 1, 4], [46, 24, 7, 23], [19, 11, 15, 5], [21, 34], [25], [30], [16, 17, 18, 20, 27], [28, 29], [35, 40, 47, 26], [31, 33], [50, 22], [53, 39, 10], [41, 44, 37, 45, 8], [52, 43, 12, 13], [54, 32], [57], [38, 49, 56], [51, 42], [48, 60, 61, 55], [58, 63, 62], [59, 14, 64], [67, 65], [72, 68, 70, 78], [71, 77, 76], [66, 69, 73], [82, 79], [74, 75], [86, 80], [83, 81], [84, 87], [85, 88]]
1: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 50, 55, 51, 56, 54, 58, 63, 61, 62, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
2: [[5, 36, 2, 1, 16, 28, 24, 29, 23, 12, 13, 22], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 54, 55, 50, 58, 51, 56, 62, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
3: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 47, 44, 43, 53, 49, 52, 54, 50, 63, 56, 55, 58, 57, 62, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
4: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 50, 55, 54, 51, 56, 58, 63, 62, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
5: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 43, 44, 47, 53, 49, 52, 50, 55, 54, 58, 57, 56, 62, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
6: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 54, 50, 55, 58, 51, 56, 62, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
7: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 54, 50, 62, 55, 51, 56, 58, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
8: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 53, 49, 52, 54, 51, 55, 56, 58, 50, 61, 63, 62, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
9: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 54, 51, 50, 58, 55, 56, 62, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
10: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 47, 44, 43, 49, 53, 52, 50, 54, 63, 57, 55, 58, 62, 56, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
11: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 53, 49, 52, 50, 55, 62, 51, 54, 58, 56, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
12: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 50, 54, 55, 51, 58, 56, 61, 62, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
13: [[5, 36, 2, 1, 16, 28, 24, 29, 23, 12, 13, 22], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 43, 44, 47, 49, 53, 52, 50, 55, 54, 58, 56, 57, 62, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
14: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 50, 54, 55, 58, 56, 51, 61, 62, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
15: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 47, 44, 43, 49, 53, 52, 54, 50, 63, 55, 56, 57, 61, 62, 58, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
16: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 50, 54, 55, 58, 61, 56, 62, 51, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
17: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 47, 44, 43, 49, 53, 52, 54, 50, 55, 56, 62, 57, 63, 58, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
18: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 53, 49, 52, 54, 50, 51, 55, 58, 56, 62, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
19: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 50, 54, 58, 51, 62, 55, 56, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
20: [[5, 36, 2, 1, 16, 28, 24, 29, 23, 12, 13, 22], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 54, 51, 62, 50, 55, 56, 58, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
21: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 54, 50, 58, 55, 51, 56, 62, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
22: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 50, 55, 54, 58, 51, 56, 62, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
23: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 54, 51, 50, 55, 58, 56, 62, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
24: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 47, 44, 43, 49, 53, 52, 50, 55, 51, 54, 58, 56, 62, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
25: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 57, 43, 44, 47, 49, 53, 52, 54, 50, 55, 51, 58, 56, 62, 63, 61, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
26: [[22, 5, 36, 2, 1, 16, 28, 13, 24, 12, 29, 23], [11, 15, 8, 3, 4, 9, 14, 20, 17, 18, 21, 25, 60, 31, 41, 59], [19, 10, 6, 7, 27, 26, 35, 30, 48, 33, 32, 34, 46, 37, 38, 45, 39, 42, 40, 51, 43, 44, 47, 49, 53, 52, 50, 54, 55, 58, 57, 56, 62, 61, 63, 64, 69, 65, 77], [66, 67, 71, 68, 70, 74, 72, 76, 75, 73, 79, 78, 85, 82, 80, 81, 83, 86, 84, 87, 88]]
