0: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8], [3, 11], [9, 17, 18], [7, 2, 1, 19], [6, 5], [16, 13, 10, 12, 14]]
1: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8], [3, 11], [9, 17, 18], [7, 2, 1, 19], [6, 5], [16, 13, 10, 12, 14]]
2: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8, 3, 11], [9, 17, 18, 7], [2, 1, 19, 6, 5, 16, 13, 10, 12, 14]]
3: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8, 3, 11], [9, 17, 18, 7], [2, 1, 19, 6, 5, 16, 13, 10, 12, 14]]
4: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8], [3, 11], [9, 17, 18], [7, 2, 1, 19, 6, 5, 16, 12, 13, 10, 14]]
5: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 14, 3], [11, 8, 9], [17, 18, 7, 2, 1, 6, 5, 16, 13, 12, 10, 19]]
6: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3, 11], [9, 17, 18], [7, 2], [1, 19], [6, 5], [16, 12, 13], [10, 14]]
7: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8], [3, 11, 9, 17, 18, 7, 2], [1, 19, 6, 5, 16, 13, 10, 12, 14]]
8: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8], [3, 11, 9, 17, 18, 7, 2, 1, 19, 6], [5, 16, 12, 13, 10, 14]]
9: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3, 11], [9, 17, 18], [7, 14], [2, 1], [6, 5], [16, 12], [13, 10, 19]]
10: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 14], [3, 11, 8], [9, 17], [18, 2], [1, 19, 7], [6, 5, 16, 10, 12, 13]]
11: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3], [11, 9], [17, 18, 7], [2, 1, 19], [6, 5], [16, 13, 10], [12, 14]]
12: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8], [3, 11, 9], [17, 18, 7, 2, 1, 19, 6, 5, 16, 13, 12, 10, 14]]
13: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3], [11, 9], [17, 18, 7], [2, 1, 19], [6, 5], [16, 13, 10], [12, 14]]
14: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8, 3], [11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 12, 13, 10], [14]]
15: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8, 3], [11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 12, 13, 10], [14]]
16: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3], [11, 9, 17], [18, 7, 2], [1, 19], [6, 5], [16, 12, 13], [10, 14]]
17: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3, 11], [9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 12, 13, 10, 14]]
18: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3, 11], [9, 17], [18, 7, 2, 1, 19, 6, 5, 16, 12, 13, 10, 14]]
19: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8, 3, 11, 9, 17], [18, 7], [2, 1, 19, 6, 5, 16, 13, 10, 12, 14]]
20: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8], [3, 11], [9, 17], [18, 7, 2], [1, 19], [6, 5, 16], [13, 10], [12, 14]]
21: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3, 11], [14, 9], [17, 18, 7], [2, 1], [6, 5], [16, 13, 10], [12, 19]]
22: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29], [14, 3], [11, 8, 9], [17, 18], [7, 2, 1, 6, 5, 16, 13, 10, 12, 19]]
23: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [14, 3, 11], [8, 9], [17, 18, 7], [2, 1], [6, 5], [16, 13, 10], [12, 19]]
24: [[23, 22], [20, 25], [24, 28], [21, 15, 27], [26, 4, 29, 8], [3, 11], [9, 17, 18, 7, 2], [1, 19, 6, 5, 16, 13, 10, 12, 14]]
25: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [14, 3], [11, 8, 9], [17, 18, 7], [2, 1], [6, 5], [16, 13, 10], [12, 19]]
26: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8], [3, 11], [9, 17], [18, 7], [2, 1, 19, 6], [5, 16, 12, 13], [10, 14]]
27: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29, 8], [3, 11], [9, 17], [18, 7, 2], [1, 19, 12, 5, 16, 13], [10, 6, 14]]
28: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8, 3, 11, 9, 17, 18, 7, 2, 1, 19, 6, 5], [16], [12, 13, 10, 14]]
29: [[23, 22], [20, 25], [24, 28], [21, 15, 27], [26, 4, 29, 8], [3, 11], [9, 17, 18, 7, 2], [1, 19, 6, 5, 16], [13, 10, 12, 14]]
30: [[23, 22], [20, 25], [24, 28], [21, 15, 27], [26, 4, 29, 8], [3, 11], [9, 17, 18, 7, 2], [1, 19, 6, 5, 16, 13, 10], [12, 14]]
31: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 8], [3, 11], [9, 17, 18], [7, 2, 1], [19, 14], [6, 5], [16, 10, 12, 13]]
32: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [3, 8], [11, 9, 17], [18, 7, 2], [1, 19], [5, 16, 6, 12], [13], [10, 14]]
