0: [[24, 50, 36, 45, 23], [48, 62, 1, 5, 4, 13], [30, 43, 33, 11, 85, 31, 74], [14, 41, 15], [81, 16, 35, 3, 17, 21, 51, 57], [20, 44, 53, 73, 39], [67, 9, 25, 28, 66, 72], [32, 27, 68, 37, 8], [60, 46, 78, 38], [79], [52, 7, 65, 80, 55], [70, 42, 34], [58, 59, 10], [69, 61, 49, 19], [54, 76, 63, 71], [64, 77, 47, 26, 18, 40, 56, 75], [82, 29, 83, 84, 86], [2, 6, 87, 88, 12, 22]]
1: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 5, 77, 7, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
2: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 7, 77, 5, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
3: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 7, 77, 5, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
4: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 7, 77, 5, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
5: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 7, 77, 5, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
6: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 7, 77, 5, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
7: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 4, 2, 12, 11, 1, 5, 77, 7, 8, 13, 43, 29, 9, 10, 14, 25, 28, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 40, 34, 39, 41, 42, 37, 32, 38, 45, 47, 44, 46, 59, 49, 51, 57, 60, 54, 53, 52, 56], [55, 63, 62, 58, 61, 64, 66, 67, 65, 70, 68, 73, 69, 74, 72, 79, 75, 78, 76, 83, 82, 84, 87, 80, 81, 85, 86, 71, 88]]
8: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 7, 77, 5, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
9: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 5, 77, 7, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
10: [[24, 50, 36, 15, 23, 48, 22, 3, 6, 2, 4, 12, 10, 1, 5, 77, 7, 8, 13, 43, 28, 9, 29, 14, 11, 25, 16, 19, 20, 26], [18, 21, 30, 17, 27, 31, 35, 33, 32, 34, 39, 41, 42, 37, 45, 38, 40, 47, 44, 46, 59, 49, 51, 57, 60, 52, 53, 54, 56], [55, 61, 58, 63, 62, 64, 66, 67, 65, 70, 68, 69, 71, 74, 72, 73, 75, 78, 76, 79, 82, 84, 85, 80, 81, 87, 86, 83, 88]]
