0: [[2, 1, 13, 10], [4, 22, 5], [14, 11, 7], [6, 9], [20, 15, 8, 12, 19, 17], [18, 16, 3], [23, 21, 24]]
1: [[2, 1, 10], [4, 5, 22], [14, 11, 7], [6, 9], [20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
2: [[2, 4, 5, 22, 14, 1, 10], [11, 7], [6, 9], [20, 15, 8, 12, 13], [19, 17, 18, 16, 3], [23, 21, 24]]
3: [[2, 1], [4, 5, 22, 14, 10], [11, 7, 6], [9, 20, 15, 8, 12, 13], [19, 17, 18, 16, 3], [23, 21, 24]]
4: [[2, 4, 5], [22, 14, 11, 7, 6, 10], [9, 20, 1], [15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
5: [[2, 4, 5, 1], [22, 14, 11, 7, 10], [6, 9, 20, 15, 8, 12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
6: [[2, 4, 5, 22, 14, 1], [11, 7, 10], [6, 9], [20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
7: [[2, 4, 5, 22], [14, 11, 10], [7, 6], [9, 20, 1], [15, 8, 12, 13, 19], [17, 18, 16, 3], [23, 21, 24]]
8: [[3, 1], [10, 2, 4, 5, 22, 14], [11, 7], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 16], [23, 21, 24]]
9: [[2, 1], [4, 5], [22, 14, 11, 7, 6, 9, 20, 10], [15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
10: [[3, 1], [10, 2, 4, 5, 22, 14], [11, 7], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 16], [23, 21, 24]]
11: [[3, 1], [10, 2, 4, 5, 22, 14], [11, 7], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 16], [23, 21, 24]]
12: [[3, 1], [10, 2, 4, 5, 22, 14], [11, 7], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 16], [23, 21, 24]]
13: [[2, 1], [4, 5, 22, 14, 11, 7, 10], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 16, 3], [23, 21, 24]]
14: [[2, 4, 5, 22, 1], [14, 11, 7, 6, 9, 20, 10], [15, 8], [12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
15: [[2, 4, 5, 22, 14, 11, 7, 10], [6, 9], [20, 15, 8], [12, 13, 19, 17, 1], [18, 16, 3], [23, 21, 24]]
16: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6], [9, 20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
17: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6], [9, 20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
18: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6], [9, 20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
19: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6], [9, 20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
20: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6], [9, 20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
21: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6], [9, 20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
22: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6, 9], [20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
23: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6, 9], [20, 15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
24: [[2, 1], [4, 5, 22, 14, 11, 7, 10], [6, 9], [20, 15, 8, 12, 13], [19, 17, 18, 16, 3], [23, 21, 24]]
25: [[2, 4, 5, 22, 14, 1, 10], [11, 7, 6, 9, 20, 15, 8], [12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
26: [[2, 4, 5, 22, 14, 1, 10], [11, 7, 6, 9, 20, 15, 8], [12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
27: [[2, 1], [4, 5, 22, 14, 11, 7, 6, 10], [9, 20], [15, 8, 12, 13, 19], [17, 18, 16, 3], [23, 21, 24]]
28: [[2, 1], [4, 5, 22, 14, 11, 7, 10], [6, 9, 20, 15, 8], [12, 13], [19, 17, 18, 16, 3], [23, 21, 24]]
29: [[2, 10], [4, 5], [22, 14], [11, 7], [6, 9, 20, 15, 8, 12], [13, 19, 17, 18, 16, 3, 1], [23, 21, 24]]
30: [[3, 2, 5, 1, 10], [22, 14, 4], [11, 7], [6, 9], [20, 15], [8, 12, 13, 19, 17, 18, 16], [23, 21, 24]]
31: [[3, 2, 5, 1, 10], [22, 14, 4], [11, 7], [6, 9], [20, 15], [8, 12, 13, 19, 17, 18, 16], [23, 21, 24]]
32: [[2, 4, 5, 22, 14, 11, 10], [7, 6, 9, 20, 1], [15, 8, 12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
