0: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13, 10], [5, 25], [19, 16, 29, 18, 14], [28, 24], [21, 26, 27]]
1: [[6, 2], [17, 9, 1], [23, 22], [4, 8, 20], [12, 3], [7, 15], [11, 13, 10], [25, 5], [19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
2: [[6, 2], [17, 9], [1, 23, 22], [4, 8, 20], [3, 7, 12], [15, 11, 13, 10], [5, 25], [19, 16, 29, 18, 14], [28, 24], [21, 26, 27]]
3: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 14], [15, 11], [13, 5, 25], [10, 19, 16], [29, 18, 12], [28, 24], [21, 26, 27]]
4: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20, 3], [7, 12], [15, 11, 13], [5, 25], [10, 19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
5: [[6, 2, 17], [9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13], [10, 25, 5], [19, 16, 29], [18, 14], [28, 24], [21, 26, 27]]
6: [[6, 2, 17], [9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13], [10, 25, 5], [19, 16, 29], [18, 14], [28, 24], [21, 26, 27]]
7: [[6, 2], [17, 9], [1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11], [13, 10, 5], [25, 19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
8: [[6, 2, 17], [9, 1, 23], [22, 4], [8, 20], [3, 7, 12], [15, 11, 13, 10], [5, 25], [19, 16, 29, 18, 14], [28, 24], [21, 26, 27]]
9: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11], [13, 5], [25, 10], [19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
10: [[6, 2], [17, 9, 1], [23, 22, 4], [8, 20], [12, 3], [7, 15], [11, 13, 10], [5, 25], [19, 16], [29, 18], [14, 28, 24], [21, 26, 27]]
11: [[6, 2], [17, 9], [1, 23, 22], [4, 8], [20, 12], [3, 7], [15, 11, 13], [10, 5, 25], [19, 16, 29], [18, 14, 28, 24], [21, 26, 27]]
12: [[6, 2], [17, 9], [1, 23, 22], [4, 8], [20, 3], [7, 12, 15], [11, 13, 10], [5, 25, 19], [16, 29, 18], [14, 28, 24], [21, 26, 27]]
13: [[6, 2], [17, 9], [1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13], [10, 5], [25, 19, 16], [29, 18], [14, 28, 24], [21, 26, 27]]
14: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13], [5, 25, 10], [19, 16], [29, 18, 14], [28, 24, 21], [26, 27]]
15: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [3, 7, 12], [15, 11], [13, 10], [5, 25], [19, 16], [29, 18], [14, 28, 24], [21, 26, 27]]
16: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12, 15], [11, 13], [10, 5], [25, 19], [16, 29, 18], [14, 28, 24], [21, 26, 27]]
17: [[6, 2], [17, 9, 1], [23], [22, 4], [8, 20], [3, 7], [12, 15], [11, 13], [5, 25], [10, 19], [16, 29], [18, 14], [28, 24], [21, 26, 27]]
18: [[6, 2], [17, 9, 1], [23, 22, 4], [8, 20], [3, 7, 12], [15, 11], [13, 5], [25, 10, 19], [16, 29, 18, 14], [28, 24], [21, 26, 27]]
19: [[6, 2], [17, 9], [1, 23, 22], [4, 8], [20, 3, 7], [12, 15, 11], [13, 10, 5], [25, 19], [16, 29, 18], [14, 28, 24], [21, 26, 27]]
