0: [[35, 27, 9, 20, 2], [4, 7], [1, 5, 3], [8, 11, 14, 16, 29, 12], [30, 13, 15, 17, 6, 10, 21], [22, 19, 24, 23, 25, 28], [26], [31, 42, 32, 33, 37], [34], [36, 39, 41], [38, 47, 40, 43, 44, 46, 45, 18], [52, 51, 48], [50, 54, 59], [55, 58, 56, 53, 60], [57, 49]]
1: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 13, 6, 15, 29, 11, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
2: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 13, 10, 15, 29, 11, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
3: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 11, 25, 15, 13, 10, 29, 21, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
4: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 11, 15, 29, 13, 25, 30, 10, 21, 6], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
5: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 11, 6, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
6: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 11, 6, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
7: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 11, 6, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
8: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 10, 11, 15, 13, 25, 21, 29, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
9: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 15, 10, 11, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
10: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 15, 6, 11, 29, 13, 25, 21, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
11: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 13, 15, 25, 11, 29, 30, 10, 21, 6], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
12: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 11, 10, 13, 29, 15, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
13: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 15, 10, 11, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
14: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 11, 10, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
15: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 11, 6, 15, 13, 29, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
16: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 13, 10, 29, 11, 25, 21, 15, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
17: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 11, 10, 15, 25, 29, 13, 21, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
18: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 11, 15, 6, 13, 29, 10, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
19: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 11, 15, 29, 13, 25, 30, 10, 21, 6], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
20: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 15, 10, 11, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
21: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 11, 10, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
22: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 10, 11, 6, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
23: [[35, 27, 2, 24, 12, 20, 4, 7, 1, 3, 17, 14], [8, 9, 5, 6, 11, 10, 15, 29, 13, 21, 25, 30], [22, 19, 18, 23, 16, 28, 26, 31, 40, 38, 32, 37], [33, 36, 34, 45, 42, 43, 39, 41, 44, 46, 47, 50], [49, 52, 48, 54, 59, 51, 55, 58, 53, 60, 56, 57]]
