0: [[1, 3], [10, 6, 5, 4, 9, 2], [7, 8, 11, 13, 12]]
1: [[1, 3], [10, 2, 6, 5, 4, 9], [7, 8, 11, 13, 12]]
2: [[1, 3], [10, 6, 5, 2], [4, 9, 8, 11], [13, 12, 7]]
3: [[1, 3], [10, 6, 5, 4, 9], [8, 11], [13, 12, 2, 7]]
4: [[1], [10], [5, 3], [4, 9, 6], [7, 8, 11], [13, 12, 2]]
5: [[1, 3], [10, 2, 6, 5, 4], [9, 7, 8, 11, 13, 12]]
6: [[1, 3, 10, 2], [6, 5, 4, 9], [7, 8, 11, 13, 12]]
7: [[1], [10], [5, 3], [4, 9, 7], [8, 11, 6], [13, 12, 2]]
8: [[1], [10], [6, 5, 4, 9, 3, 2], [7, 8, 11, 13, 12]]
9: [[1, 3], [10], [2, 6, 5, 4, 9, 7, 8, 11, 13, 12]]
10: [[1, 3], [10], [5, 4, 9, 7], [8, 11, 6], [13, 12, 2]]
11: [[1, 3], [10, 5, 4, 2], [9, 7], [8, 11, 13, 12, 6]]
12: [[1, 3, 10, 6, 5, 4], [9, 8, 7], [11], [13, 12, 2]]
13: [[1, 3], [10, 2], [6, 5, 4, 9, 7, 8, 11, 13, 12]]
14: [[1, 10, 2], [6, 5, 3], [4], [9], [7, 8, 11, 13, 12]]
15: [[1, 3], [10, 5], [4, 9, 7, 8, 6], [11, 13, 12, 2]]
16: [[1], [10, 2], [6, 5, 3], [4, 9, 7, 8, 11, 13, 12]]
17: [[1, 3, 10, 2, 6, 5, 4], [9, 7, 8], [11, 13, 12]]
18: [[1, 3, 10], [2, 6, 5, 4, 9, 7, 8, 11], [13, 12]]
19: [[1], [10], [6, 2], [5, 4, 3], [9, 7, 8, 11, 13, 12]]
20: [[1, 3, 10], [2, 6, 5, 4, 9, 7, 8, 11], [13, 12]]
21: [[1, 3], [10], [5, 4, 9, 7], [8, 11, 13, 12, 2, 6]]
22: [[1, 10], [6, 5, 3], [4, 9], [7, 8], [11, 13, 12, 2]]
23: [[1], [3, 10, 2, 6, 5, 4, 9, 7, 8, 11, 13], [12]]
24: [[1], [3, 10, 2, 6, 5, 4, 9, 7, 8, 11, 13], [12]]
25: [[1, 3, 10, 2], [6, 5], [4, 9, 7, 8, 11, 13, 12]]
26: [[1], [3, 10, 2, 6, 5, 4, 9, 7, 8, 11], [13, 12]]
27: [[1, 3, 10], [5, 4], [9, 7], [8, 11, 13, 12, 2, 6]]
