0: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 12, 9], [15, 14, 16], [17, 18, 19, 20]]
1: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
2: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
3: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
4: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9, 12], [15, 14], [16, 17, 18, 19, 20]]
5: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9, 12], [15, 14], [16, 17, 18, 19, 20]]
6: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9], [12, 15, 14, 16], [17, 18, 19, 20]]
7: [[1, 2, 7, 10, 5, 4, 6], [3, 8], [11, 13, 9], [12, 15, 14, 16], [17, 18, 19, 20]]
8: [[1, 4], [2, 7, 10, 5, 3, 8, 6], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
9: [[1, 4], [2, 7, 10, 5, 3, 8, 6], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
10: [[1, 4], [2, 7, 10, 5, 3, 8, 6], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
11: [[1, 4], [2, 7, 10, 5, 3, 8, 6], [11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
12: [[1, 4, 2], [7, 10, 6, 5], [3, 8], [11, 13, 9, 12, 15, 14, 16], [17, 18, 19, 20]]
13: [[1, 2, 7, 10, 5, 6], [3, 8], [11, 13, 9, 12, 15], [14, 16, 17, 4], [18, 19, 20]]
14: [[1, 4], [2, 7, 10, 5, 3], [8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
15: [[1, 4], [2, 7, 10, 6], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
16: [[1, 4], [2, 7, 10, 6], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16], [17, 18, 19, 20]]
17: [[1, 2, 4], [7, 10, 5, 3], [8, 11, 13, 9, 12, 15], [14, 16, 6], [17, 18, 19, 20]]
18: [[1, 2, 7, 4], [10], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
19: [[1, 2, 7, 4], [10], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
20: [[1, 2, 7, 4], [10], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
21: [[1, 2, 7, 4], [10], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
22: [[1, 2, 7, 4], [10], [5, 3, 8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
23: [[1, 7, 4, 2], [10, 6, 5], [3, 8], [11, 13, 9, 12, 15, 14, 16], [17, 18, 19, 20]]
24: [[1, 7, 4, 2], [10, 6, 5], [3, 8], [11, 13, 9, 12, 15, 14, 16], [17, 18, 19, 20]]
25: [[1, 7, 4, 2], [10, 6, 5], [3, 8], [11, 13, 9, 12, 15, 14, 16], [17, 18, 19, 20]]
26: [[1, 2, 4], [7, 10], [5, 3, 8, 11, 13, 9, 12, 15], [14, 16, 6], [17, 18, 19, 20]]
27: [[1, 2, 7, 10, 5, 3, 4], [8, 11, 13, 9], [12, 15], [14, 16, 6], [17, 18, 19, 20]]
28: [[1, 2, 7, 10, 4], [5, 3], [8, 11, 13, 9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
29: [[1, 2, 4], [7, 10, 5, 3, 8, 11, 6], [13, 9], [12, 15, 14, 16], [17, 18, 19, 20]]
30: [[1, 2, 4], [7, 10, 5, 3, 8, 11, 6], [13, 9], [12, 15, 14, 16], [17, 18, 19, 20]]
31: [[1, 2, 7, 10, 4], [5, 3, 8, 11, 13], [9, 12], [15, 14, 16, 6], [17, 18, 19, 20]]
32: [[1, 4], [2, 7, 10], [5, 3, 8, 11, 13, 9, 6], [12, 15, 14, 16], [17, 18, 19, 20]]
33: [[1, 2, 7, 10, 4], [5, 6], [3, 8, 11, 13, 9], [12, 15, 14, 16], [17, 18, 19, 20]]
34: [[1, 2, 4], [7, 10, 5, 6], [3, 8, 11, 13, 9, 12, 15, 14], [16, 17], [18, 19, 20]]
35: [[1, 2, 7, 10, 4, 6], [5, 3], [8, 11, 13, 9], [12, 15, 14, 16], [17, 18, 19, 20]]
36: [[4, 1, 2], [7, 10], [6, 5, 3], [8, 11, 13, 9, 12, 15, 14, 16], [17, 18, 19, 20]]
37: [[1, 2, 7, 4], [10, 5, 3, 8, 11, 13], [9, 12], [15, 14, 6], [16, 17, 18, 19, 20]]
38: [[1, 2, 7, 4], [10, 5, 3, 8, 11, 13], [9, 12], [15, 14, 6], [16, 17, 18, 19, 20]]
39: [[1, 4], [2, 7, 10, 5, 3, 6], [8, 11, 13, 9], [12, 15, 14], [16, 17, 18, 19, 20]]
40: [[4, 1, 2, 7], [10, 6], [5, 3, 8, 11, 13, 9, 12, 15], [14, 16], [17, 18, 19, 20]]
41: [[1, 2, 4], [7, 10], [5, 3, 8, 11, 13, 9, 6], [12, 15], [14, 16, 17, 18, 19, 20]]
