0: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
1: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
2: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
3: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
4: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
5: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
6: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
7: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
8: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
9: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
10: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
11: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
12: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
13: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
14: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
15: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
16: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
17: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
18: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
19: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
20: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
21: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
22: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
23: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
24: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
25: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
26: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
27: [[5, 3], [12, 2], [10, 1, 4], [6, 9], [11, 13, 8, 7]]
