0: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33, 32, 34], [35, 36]]
1: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33, 32], [34, 35, 36]]
2: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31], [30, 33, 32], [34, 35, 36]]
3: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32], [34], [35, 36]]
4: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32], [34, 35, 36]]
5: [[37, 13, 2], [3, 29, 7], [22], [4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
6: [[37, 13, 2], [3, 29, 7], [22], [4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
7: [[37, 13, 2], [3, 29, 7, 22], [4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32], [34, 35, 36]]
8: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35, 36]]
9: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35, 36]]
10: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
11: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23], [27, 18, 24], [19, 26, 28, 25], [31, 30, 33, 32, 34, 35, 36]]
12: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5, 14], [8, 10, 9], [12, 17, 20], [15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32], [34, 35, 36]]
13: [[37, 13, 2], [3, 29, 7, 22], [4, 1, 6], [11, 5, 14], [8, 10, 9], [12, 17, 20], [15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
14: [[37, 13], [2, 3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
15: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30], [33, 32], [34, 35, 36]]
16: [[37, 13, 2], [3, 29, 7], [22, 4], [1, 6, 11], [5, 14, 8], [10, 9, 12], [17, 20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33, 32], [34, 35, 36]]
17: [[37, 13, 2], [3, 29, 7], [22, 4], [1, 6, 11], [5, 14, 8], [10, 9, 12], [17, 20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33, 32], [34, 35, 36]]
18: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6], [11, 5, 14], [8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
19: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25, 31], [30, 33, 32, 34, 35, 36]]
20: [[37, 13, 2], [3, 29], [7, 22, 4], [1, 6, 11], [5, 14, 8], [10, 9, 12], [17, 20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34, 35], [36]]
21: [[37, 13, 2], [3, 29, 7], [22, 4], [1, 6, 11], [5, 14, 8], [10, 9, 12], [17, 20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30, 33], [32, 34], [35, 36]]
22: [[37, 13, 2], [3, 29, 7], [22, 4, 1, 6], [11, 5, 14], [8, 10, 9], [12, 17, 20], [15, 21, 16], [23, 27, 18], [24, 19], [26, 28, 25], [31, 30, 33, 32], [34, 35, 36]]
23: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11], [5, 14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24, 19], [26, 28, 25], [31, 30], [33, 32], [34, 35, 36]]
24: [[37, 13, 2], [3, 29, 7], [22, 4, 1], [6, 11, 5], [14, 8, 10], [9, 12, 17], [20, 15, 21], [16, 23, 27], [18, 24], [19, 26, 28], [25, 31, 30, 33, 32], [34, 35, 36]]
