0: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 28, 20, 25, 24], [21, 27, 26]]
1: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
2: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
3: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
4: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 24, 25], [21, 27, 26]]
5: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
6: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
7: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
8: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 28, 25], [21, 27, 26]]
9: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 28, 25], [21, 27, 26]]
10: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 24, 25], [21, 27, 26]]
11: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 24, 25], [21, 27, 26]]
12: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
13: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
14: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [19, 18, 16, 14], [20, 28, 25, 24, 10], [21, 27, 26]]
15: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
16: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
17: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
18: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
19: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
20: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
21: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
22: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
23: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
24: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
25: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
26: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 25, 28, 24], [21, 27, 26]]
27: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 25, 28, 24], [21, 27, 26]]
28: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
29: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
30: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
31: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
32: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
33: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
34: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
35: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
