0: [[5, 3], [10, 1, 4], [6, 8], [2, 7, 9, 11, 12, 13]]
1: [[5, 3], [10, 1, 4], [6, 8, 2, 7, 9, 11, 12, 13]]
2: [[5, 3], [10, 1, 4, 6, 8, 2], [7, 9, 11, 12, 13]]
3: [[5, 3], [10, 1, 4, 6, 8], [2, 7, 9, 11, 12, 13]]
4: [[5, 3], [10, 1, 4, 6, 8], [2, 7, 9, 11, 12, 13]]
5: [[5, 3], [10, 1, 4], [6, 8, 7, 9, 11, 2], [12, 13]]
6: [[5, 3], [10, 1, 4], [8, 2, 7], [9, 11, 6], [12, 13]]
7: [[5, 3], [10, 1, 4, 6], [8, 2], [7, 9, 11, 12, 13]]
8: [[5], [10, 1, 4], [6, 8, 2, 3], [7, 9, 11, 12, 13]]
9: [[5], [10], [4, 6, 3, 1], [8, 2, 7, 9, 11, 12, 13]]
10: [[5, 3, 10, 1, 4, 6], [8, 2], [7, 9, 11, 12, 13]]
11: [[5, 3], [10, 1], [4, 6, 8, 7, 9, 11], [12, 13, 2]]
12: [[5, 3], [10, 1], [4, 6, 8, 7, 9, 11], [12, 13, 2]]
13: [[5, 3, 10], [1, 4, 6, 8, 2], [9, 11, 12, 7], [13]]
14: [[5, 3], [10, 1, 4], [6, 8, 7, 2], [9, 11, 12, 13]]
15: [[5], [10], [4, 6, 3, 1], [8, 2], [7, 9, 11, 12, 13]]
16: [[5, 3], [10, 1, 4, 8, 2], [7, 9], [11, 12, 13, 6]]
17: [[5, 3], [10, 1, 8, 4], [2, 7], [9, 11, 12, 13, 6]]
18: [[5], [10], [4, 6, 3, 1], [8, 2, 7, 9, 11], [12, 13]]
19: [[5, 3], [10, 1, 4, 6, 8, 2, 7], [9, 11, 12, 13]]
20: [[5, 3, 10, 1, 4], [6, 8, 2, 7, 9], [11, 12, 13]]
21: [[5, 3, 10, 4], [1], [8, 2, 7], [9, 11, 12, 13, 6]]
22: [[5, 3, 10, 1, 4], [8, 7, 2], [9], [11, 12, 13, 6]]
23: [[5, 3, 10, 1], [4, 6, 8, 2, 7, 9], [11, 12, 13]]
24: [[5, 3, 10], [1, 4, 6, 8, 2, 7], [9, 11, 12, 13]]
25: [[5, 3], [10, 1], [4, 6, 8], [2, 7, 9], [11, 12, 13]]
26: [[5, 3, 10], [1, 4, 6, 8, 2, 7], [9, 11, 12, 13]]
27: [[5, 3, 10], [1, 4], [6, 8, 2], [7, 9], [11, 12, 13]]
