0: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19], [37, 23]]
1: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19], [37, 23]]
2: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26, 34, 30, 29], [13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
3: [[8, 28], [18, 22], [14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19], [37, 23]]
4: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26, 34, 30, 29], [13, 15, 3, 11], [5, 20, 12, 19, 37, 23]]
5: [[8, 28, 18, 22, 14], [25, 27], [31, 35, 24, 2], [33, 17, 32, 4], [1, 7, 9], [16, 21, 6, 36], [10, 26, 34], [30, 29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
6: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36, 10], [26, 34], [30, 29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
7: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4, 1, 7, 9, 16], [21, 6, 36], [10, 26, 34, 30, 29], [13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
8: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6, 36, 10, 26, 34, 30, 29], [13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
9: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10], [26, 34], [30, 29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
10: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2, 33, 17], [32, 4, 1], [7, 9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19], [37, 23]]
11: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29], [13, 15], [3, 11, 5, 20, 12, 19, 37, 23]]
12: [[8, 28, 18], [22, 14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1, 7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19, 37, 23]]
13: [[8, 28, 18, 22], [14, 25], [27, 31], [35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15], [3, 11], [5, 20, 12, 19, 37, 23]]
14: [[8, 28, 18, 22], [14, 25, 27], [31, 35, 24, 2], [33, 17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29, 13], [15, 3, 11], [5, 20, 12, 19, 37, 23]]
15: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10, 26, 34], [30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
16: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6, 36, 10, 26, 34, 30, 29], [13, 15, 3, 11, 5], [20, 12, 19], [37, 23]]
17: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2, 33], [17, 32, 4], [1, 7, 9, 16, 21], [6, 36, 10, 26], [34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19, 37, 23]]
18: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4, 1, 7, 9], [16, 21], [6, 36, 10, 26], [34, 30, 29, 13, 15, 3, 11], [5, 20, 12, 19, 37, 23]]
19: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10], [26, 34, 30], [29, 13, 15], [3, 11, 5, 20, 12, 19, 37, 23]]
20: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4, 1, 7, 9], [16, 21], [6, 36, 10, 26], [34, 30, 29, 13], [15, 3, 11], [5, 20, 12, 19, 37, 23]]
21: [[8, 28, 18], [22, 14, 25, 27], [31, 35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29], [13, 15, 3, 11], [5, 20, 12, 19], [37, 23]]
22: [[8, 28, 18, 22], [14, 25, 27, 31, 35, 24, 2], [33, 17, 32, 4, 1], [7, 9, 16], [21, 6, 36], [10, 26, 34, 30], [29, 13, 15], [3, 11, 5, 20, 12, 19, 37, 23]]
23: [[8, 28, 18, 22], [14, 25], [27, 31], [35, 24, 2], [33, 17], [32, 4, 1, 7, 9, 16], [21, 6, 36, 10, 26], [34, 30], [29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
24: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16, 21], [6, 36, 10, 26, 34], [30, 29, 13, 15], [3, 11, 5, 20, 12, 19], [37, 23]]
25: [[8, 28], [18, 22], [14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29], [13, 15, 3, 11], [5, 20, 12, 19], [37, 23]]
26: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2], [33, 17, 32, 4], [1, 7, 9], [16, 21, 6, 36, 10, 26], [34, 30, 29, 13, 15, 3, 11, 5, 20], [12, 19, 37, 23]]
27: [[8, 28, 18, 22], [14, 25], [27, 31, 35, 24, 2], [33, 17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15], [3, 11, 5, 20, 12], [19, 37], [23]]
28: [[8, 28, 18, 22], [14, 25, 27, 31, 35, 24, 2], [33, 17, 32, 4, 1], [7, 9, 16], [21, 6, 36], [10, 26, 34], [30, 29, 13, 15, 3], [11, 5, 20], [12, 19, 37, 23]]
29: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16, 21], [6, 36, 10, 26, 34, 30, 29, 13], [15, 3, 11, 5, 20, 12, 19, 37, 23]]
30: [[8, 28, 18, 22], [14, 25, 27], [31, 35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6], [36, 10, 26, 34, 30], [29, 13, 15, 3, 11, 5], [20, 12, 19, 37, 23]]
31: [[8, 28, 18, 22], [14, 25, 27, 31, 35, 24, 2], [33, 17, 32, 4, 1, 7, 9, 16], [21, 6, 36, 10, 26, 34, 30], [29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
32: [[8, 28, 18], [22, 14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29], [13, 15, 3], [11, 5, 20, 12, 19, 37, 23]]
33: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2, 33], [17, 32], [4, 1], [7, 9, 16], [21, 6], [36, 10, 26, 34], [30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
34: [[8, 28, 18], [22, 14, 25, 27], [31, 35, 24, 2], [33, 17, 32, 4, 1], [7, 9, 16], [21, 6, 36, 10], [26, 34], [30, 29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
35: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33, 17, 32], [4, 1, 7, 9, 16], [21, 6], [36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
36: [[8, 28, 18, 22], [14, 25], [27, 31], [35, 24, 2], [33, 17, 32, 4], [1, 7, 9, 16, 21, 6, 36], [10, 26, 34, 30], [29, 13, 15, 3, 11, 5, 20, 12], [19, 37, 23]]
37: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7, 9, 16], [21, 6, 36, 10], [26, 34, 30, 29], [13, 15, 3, 11], [5, 20], [12, 19, 37, 23]]
38: [[8, 28, 18], [22, 14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16], [21, 6, 36], [10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20], [12, 19], [37, 23]]
39: [[8, 28, 18], [22, 14], [25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1, 7, 9], [16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
40: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24], [2, 33, 17], [32, 4], [1, 7, 9, 16], [21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11], [5, 20, 12, 19, 37, 23]]
41: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2, 33], [17], [32, 4, 1, 7], [9, 16, 21, 6], [36, 10, 26, 34], [30, 29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
42: [[8, 28, 18, 22, 14, 25], [27, 31, 35], [24, 2], [33, 17, 32, 4, 1], [7, 9], [16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
43: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2, 33, 17], [32, 4, 1, 7, 9], [16, 21, 6, 36], [10, 26, 34, 30], [29, 13, 15], [3, 11, 5], [20, 12, 19], [37, 23]]
