0: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3, 10], [7, 6, 11], [5, 12], [13, 1, 9], [18, 15], [14, 17, 20]]
1: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3, 10], [7, 6, 11], [5, 12], [13, 1, 9], [18, 15, 14], [17, 20]]
2: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6, 11], [5, 12], [13, 1, 9], [18, 15], [14, 17, 20]]
3: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12], [13, 1, 9], [18, 15], [14, 17, 20]]
4: [[23, 24], [19, 8], [4, 21], [22, 2], [16, 3, 10], [7, 6, 11], [5, 12, 13], [1, 9], [18, 15], [14, 17, 20]]
5: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6, 11], [5, 12, 13], [1, 9], [18, 15, 14, 17, 20]]
6: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7], [6, 11], [5, 12, 13, 1, 9], [18, 15], [14, 17, 20]]
7: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6, 11, 5], [12, 13], [1, 9, 18, 15, 14, 17, 20]]
8: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12, 13], [1, 9], [18, 15, 14, 17, 20]]
9: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6, 11, 5, 12, 13, 1, 9, 18, 15, 14, 17, 20]]
10: [[23, 24], [19, 8], [4, 21], [22, 2, 16], [3, 10], [7, 6, 11], [5, 12], [13, 1, 9], [18, 15], [14, 17, 20]]
11: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6, 11], [5, 12], [13, 1, 9], [18, 15, 14], [17, 20]]
12: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12, 13, 1], [9, 18, 15, 14, 17, 20]]
13: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12], [13, 1, 9], [18, 15, 14], [17, 20]]
14: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12], [13, 1], [9, 18, 15], [14, 17, 20]]
15: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3, 10, 7, 6, 11, 5, 12, 13, 1, 9, 18, 15, 14, 17, 20]]
16: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3, 10, 7, 6, 11, 5, 12, 13, 1, 9, 18, 15, 14, 17, 20]]
17: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6, 11], [5, 12, 13], [1, 9, 18, 15, 14, 17, 20]]
18: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6, 11, 5], [12, 13, 1], [9, 18, 15], [14, 17, 20]]
19: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7], [6, 11, 5], [12, 13, 1, 9, 18, 15], [14, 17, 20]]
20: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6, 11, 5, 12, 13, 1, 9, 18, 15], [14, 17, 20]]
