0: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18], [14, 10, 26, 11, 13, 27, 9, 17, 16, 21, 6], [12, 24, 31], [22, 23, 38, 60], [25, 29, 28, 32], [36, 33, 39, 40, 34], [37, 45, 43, 47, 41, 56, 42, 53, 51, 50, 46], [44, 55, 54], [59, 48, 52, 58], [57, 49]]
1: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 10, 6, 11, 9, 28, 12], [13, 23, 22, 16, 21, 14, 17, 18, 29, 25, 27, 45, 26, 24, 31, 37, 32, 36, 33, 42, 38, 39, 34, 46, 41, 43, 40, 47, 44, 56, 50, 51], [48, 49, 54, 55, 52, 53, 58, 59, 57, 60]]
2: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 9], [11, 10, 6, 17, 12, 25], [18, 13, 14, 21], [22, 16, 23, 24, 27, 28, 29, 26, 36, 37], [32, 41, 34, 33, 38, 40, 39, 42], [31, 45, 58, 47, 43], [44, 55, 46, 51, 48, 56, 50, 54, 52, 53], [49, 59, 57, 60]]
3: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 9], [11, 10, 6, 17, 12, 25], [18, 13, 14, 21], [22, 16, 23, 24, 27, 28, 29, 26, 36, 37], [32, 41, 34, 33, 38, 40, 39, 42], [31, 45, 58, 47, 43], [44, 55, 46, 51, 48, 56, 50, 54, 52, 53], [49, 59, 57, 60]]
4: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 9], [11, 10, 6, 17, 12, 25], [18, 13, 14, 21], [22, 16, 23, 24, 27, 28, 29, 26, 36, 37], [32, 41, 34, 33, 38, 40, 39, 42], [31, 45, 58, 47, 43], [44, 55, 46, 51, 48, 56, 50, 54, 52, 53], [49, 59, 57, 60]]
5: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 6, 14, 11, 9, 13, 18, 10, 12, 21], [28, 16, 17, 26, 22, 27, 23, 24], [25, 29, 31, 33, 32, 41, 36, 34, 38, 39, 37], [40, 45, 42, 43], [44, 46, 48, 52], [51, 47, 55, 58], [50, 49, 53, 54, 56, 60, 57, 59]]
6: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5], [15, 18, 11, 9, 10], [13, 14, 12, 21, 6], [16, 17, 23, 22, 24, 31, 25], [27, 28, 26, 43, 29, 32, 33, 36], [34, 37, 38, 39, 41], [46, 40, 42, 45, 44, 51], [47, 50, 48, 52, 58, 54], [49, 57, 53, 55, 59, 60], [56]]
7: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5, 15, 24, 18, 10], [13, 9, 16, 14, 17, 21, 6], [12, 11, 28], [22, 25, 23, 26, 29, 27], [31, 41, 32, 33], [36, 37, 34, 39, 45, 47], [38, 44, 42, 46, 43], [40, 50, 51, 52, 55], [56, 48, 53, 54, 57, 49, 58, 60, 59]]
8: [[7, 2, 35, 1, 19, 4, 3, 20, 8, 30], [5, 15, 18, 10, 9, 25, 12, 11, 13, 23, 14, 28, 21, 6, 16, 17, 22, 31, 27, 40, 26, 29, 24, 37, 32, 34, 33, 42, 39, 44, 36, 38, 43, 41, 45, 47, 46, 56, 50, 51], [48, 49, 54, 55, 52, 53, 58, 59, 60, 57]]
9: [[7, 2, 35, 1, 19, 4, 3, 20, 8, 30], [5, 15, 18, 10, 9, 25, 12, 11, 13, 23, 14, 28, 21, 6, 16, 17, 22, 31, 27, 40, 26, 29, 24, 37, 32, 34, 33, 42, 39, 44, 36, 38, 43, 41, 45, 47, 46, 56, 50, 51], [48, 49, 54, 55, 52, 53, 58, 59, 60, 57]]
10: [[7, 2, 35, 1, 19, 4, 3, 20, 8, 30], [5, 15, 18, 10, 9, 25, 12, 11, 13, 23, 14, 28, 21, 6, 16, 17, 22, 31, 27, 40, 26, 29, 24, 37, 32, 34, 33, 42, 39, 44, 36, 38, 43, 41, 45, 47, 46, 56, 50, 51], [48, 49, 54, 55, 52, 53, 58, 59, 60, 57]]
11: [[7, 2, 35, 1, 19, 4, 3, 20, 8, 30], [5, 15, 18, 10, 9, 25, 12, 11, 13, 23, 14, 28, 21, 6, 16, 17, 22, 31, 27, 40, 26, 29, 24, 37, 32, 34, 33, 42, 39, 44, 36, 38, 43, 41, 45, 47, 46, 56, 50, 51], [48, 49, 54, 55, 52, 53, 58, 59, 60, 57]]
12: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 12, 27, 9, 17, 13, 6, 10, 18, 14, 11, 23, 22, 24, 21, 25, 16, 26, 45, 31, 29, 28, 32], [34, 37, 36, 33], [39, 46, 38, 43, 40], [41, 42, 44, 53, 47, 48, 52, 50, 57, 49, 55, 51, 56, 59, 58, 54, 60]]
13: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15], [12, 6, 10, 9], [22, 14, 11, 17], [21, 16, 13, 18, 23], [25, 27, 24, 26, 28, 29], [31, 37, 34, 32, 53], [33, 39, 38, 43, 36, 46, 40, 44], [41, 42, 45, 47, 58, 50], [48, 52, 49, 55, 51, 54, 57], [56, 60, 59]]
14: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5, 15], [12, 6, 10, 14, 11, 24, 9, 13, 21], [16, 17, 18, 22, 28, 31], [23, 26, 25, 42, 27], [29, 37, 32, 38, 34, 46], [36, 33, 39, 43, 40, 41, 47, 48], [45, 53, 50, 44, 55], [51, 49, 52, 58, 54, 56, 60, 57, 59]]
15: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5, 15], [12, 6, 10, 14, 11, 24, 9, 13, 21], [16, 17, 18, 22, 28, 31], [23, 26, 25, 42, 27], [29, 37, 32, 38, 34, 46], [36, 33, 39, 43, 40, 41, 47, 48], [45, 53, 50, 44, 55], [51, 49, 52, 58, 54, 56, 60, 57, 59]]
16: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15], [14, 25, 10, 9, 11, 22, 12, 13, 21, 6, 27, 16, 24, 17, 23, 28, 18], [29, 31, 26, 39, 37, 34, 44, 32, 33, 38], [43, 36, 40, 45, 41, 54, 42, 46, 55, 50], [47, 48, 59, 49, 51, 52, 58, 53, 56, 57, 60]]
17: [[7, 2, 35, 1, 19, 4, 3, 20], [8, 30, 5, 15, 14, 11], [6, 9, 10, 12, 16, 17, 21, 28, 13, 18, 29], [22, 24, 27, 25, 26, 23], [31, 39, 33, 32, 36, 34, 37, 42, 41, 38, 46, 45, 44, 59, 40, 47, 50, 43, 51, 56], [48, 53, 49, 55, 52, 54, 58, 60, 57]]
18: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 10, 14, 27, 9, 12, 6, 11], [17, 21, 13, 22, 16, 18, 23, 25, 26, 24, 28], [31, 29, 37, 33, 42, 52, 32, 46, 39, 34], [36, 45, 38, 40, 53, 44, 41, 43, 50, 47, 49, 48, 51], [58, 54, 55, 59, 56, 57, 60]]
