0: [[3, 5, 11, 19, 15], [29, 2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32, 34], [36, 37]]
1: [[3, 5, 11, 19, 15], [29, 2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32, 34], [36, 37]]
2: [[3, 5, 11, 19, 15], [29, 2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32, 34], [36, 37]]
3: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
4: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
5: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
6: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
7: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
8: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
9: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
10: [[3, 5, 11], [19, 15, 29], [2, 22, 24], [1, 4, 6], [35, 7, 13], [8, 9, 18], [10, 14, 12], [17, 20, 16], [21, 23, 27], [25, 26, 28], [31, 30, 33, 32], [34, 36, 37]]
