0: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27], [28, 60, 25, 29], [31, 30, 33, 35], [45, 56, 40, 47], [53, 34, 39, 44], [32, 37], [36, 59, 51, 41, 43], [42, 54, 46, 52, 50], [48, 61], [55, 62, 57, 58, 63], [75, 68, 65, 74, 69, 66, 70], [71, 72, 73, 82, 78, 76, 81, 77, 79], [86, 83], [80, 84, 85, 87, 88]]
1: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27], [28, 60, 25, 29], [31, 30, 33, 35], [45, 56, 40, 47], [53, 34, 39, 44], [32, 37], [36, 59, 51, 41, 43], [42, 54, 46, 52, 50], [48, 61], [55, 62, 57, 58, 63], [75, 68, 65, 74, 69, 66, 70], [71, 72, 73, 82, 78, 76, 81, 77, 79], [86, 83], [80, 84, 85, 87, 88]]
2: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27], [28, 60, 25, 29, 31], [30, 33, 35, 45], [56, 40, 47, 53], [34, 39, 44, 32], [37, 36], [59, 51, 41, 43, 42], [54, 46], [52, 50, 48, 61, 55], [62, 57, 58, 63, 75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
3: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26], [23, 24], [27, 28, 60, 25, 29], [31, 30, 33], [35, 45, 56, 40, 47], [53, 34, 39, 44, 32], [37, 36, 59, 51], [41, 43, 42], [54, 46], [52, 50], [48, 61, 55, 62, 57, 58, 63, 75], [68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
4: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27], [28, 60, 25, 29], [31, 30, 33, 35], [45, 56, 40, 47, 53], [34, 39], [44, 32, 37, 36, 59], [51, 41, 43, 42, 54, 46, 52, 50, 48, 61, 55, 62, 57, 58, 63, 75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
5: [[64, 5, 19, 7, 38], [67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24], [27, 28], [60, 25, 29, 31, 30], [33, 35], [45, 56, 40, 47, 53], [34, 39, 44], [32, 37, 36, 59, 51, 41, 43], [42, 54, 46, 52, 50], [48, 61], [55, 62, 57, 58, 63, 75, 68], [65, 74, 69, 66, 70, 71], [72, 73, 82, 78, 76], [81, 77], [79, 86, 83], [80, 84], [85, 87], [88]]
6: [[64, 5, 19, 7, 38], [67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23], [24, 27, 28], [60, 25, 29], [31, 30, 33], [35, 45, 56, 40, 47], [53, 34, 39, 44, 32], [37, 36], [59, 51], [41, 43, 42], [54, 46], [52, 50, 48, 61], [55, 62, 57, 58], [63, 75], [68, 65, 74, 69, 66, 70], [71, 72, 73], [82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
7: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27, 28, 60, 25], [29, 31, 30, 33, 35], [45, 56, 40, 47, 53], [34, 39, 44], [32, 37, 36], [59, 51, 41, 43], [42, 54], [46, 52, 50, 48, 61, 55, 62, 57, 58, 63, 75, 68, 65, 74], [69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83], [80, 84, 85, 87, 88]]
8: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27], [28, 60, 25, 29], [31, 30, 33, 35, 45], [56, 40, 47], [53, 34, 39, 44, 32, 37], [36, 59, 51, 41, 43, 42, 54, 46, 52, 50, 48, 61, 55, 62, 57, 58, 63, 75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
9: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20, 16], [26, 23], [24, 27, 28, 60], [25, 29, 31, 30, 33], [35, 45, 56, 40, 47], [53, 34, 39, 44, 32], [37, 36, 59, 51, 41, 43], [42, 54, 46, 52, 50], [48, 61], [55, 62, 57, 58, 63, 75, 68], [65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
10: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27, 28, 60, 25], [29, 31, 30, 33, 35], [45, 56, 40, 47], [53, 34, 39, 44], [32, 37, 36, 59], [51, 41, 43, 42], [54, 46], [52, 50, 48, 61, 55, 62, 57, 58, 63, 75, 68], [65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80], [84, 85, 87, 88]]
11: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20, 16, 26], [23, 24, 27, 28], [60, 25], [29, 31, 30, 33, 35], [45, 56], [40, 47], [53, 34, 39, 44, 32], [37, 36, 59], [51, 41, 43, 42, 54, 46, 52, 50, 48, 61, 55, 62, 57, 58, 63, 75], [68, 65], [74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80], [84, 85, 87, 88]]
12: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26, 23, 24, 27, 28], [60, 25], [29, 31], [30, 33], [35, 45, 56, 40, 47], [53, 34, 39, 44, 32], [37, 36, 59, 51], [41, 43, 42], [54, 46], [52, 50, 48, 61, 55, 62, 57], [58, 63], [75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
13: [[64, 5, 19, 7, 38], [67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20, 16, 26, 23, 24], [27, 28, 60, 25, 29], [31, 30], [33, 35], [45, 56], [40, 47], [53, 34], [39, 44, 32, 37, 36, 59, 51, 41], [43, 42, 54, 46, 52], [50, 48, 61, 55], [62, 57, 58, 63], [75, 68, 65, 74], [69, 66, 70, 71], [72, 73], [82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85], [87, 88]]
14: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21, 18, 20, 16], [26, 23, 24, 27], [28, 60, 25, 29], [31, 30, 33, 35], [45, 56, 40, 47], [53, 34], [39, 44, 32, 37, 36], [59, 51, 41, 43, 42], [54, 46], [52, 50, 48, 61, 55], [62, 57], [58, 63, 75, 68, 65], [74, 69], [66, 70], [71, 72, 73, 82, 78], [76, 81, 77], [79, 86], [83, 80], [84, 85, 87, 88]]
15: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8], [6, 9, 14, 15], [17, 21, 18, 20], [16, 26, 23, 24], [27, 28, 60, 25], [29, 31, 30, 33, 35], [45, 56, 40, 47, 53], [34, 39, 44, 32], [37, 36, 59], [51, 41, 43, 42, 54, 46], [52, 50, 48, 61], [55, 62, 57, 58, 63, 75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
16: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8, 6, 9], [14, 15], [17, 21], [18, 20], [16, 26], [23, 24], [27, 28, 60, 25, 29], [31, 30, 33], [35, 45], [56, 40, 47, 53, 34, 39, 44, 32], [37, 36, 59, 51, 41, 43, 42, 54, 46, 52, 50, 48, 61, 55, 62, 57, 58, 63, 75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
17: [[64, 5, 19, 7, 38, 67, 4, 49], [13, 2, 1, 11, 12, 22], [10, 3, 8], [6, 9], [14, 15], [17, 21, 18, 20, 16], [26, 23, 24], [27, 28, 60, 25, 29], [31, 30], [33, 35], [45, 56], [40, 47], [53, 34, 39, 44, 32, 37], [36, 59, 51, 41, 43, 42, 54], [46, 52, 50, 48, 61, 55, 62, 57], [58, 63, 75, 68, 65, 74, 69, 66, 70, 71, 72, 73, 82, 78, 76, 81, 77, 79, 86, 83, 80, 84, 85, 87, 88]]
