0: [[19], [9, 2, 1, 13], [6, 3, 5, 4], [7, 11], [12, 10, 8, 15, 22, 16, 18, 17, 20, 14], [21, 23, 24]]
1: [[19, 4], [9, 2, 1], [6, 3], [7, 13, 11], [12, 5, 10, 8, 15, 22, 16, 18, 17, 20, 14], [21, 23, 24]]
2: [[9, 1, 2], [6, 3, 7], [13, 11, 12], [5, 10, 14, 4, 19], [8, 15], [22, 16, 18], [17, 20], [21, 23, 24]]
3: [[9, 1, 2], [6, 3], [7, 13, 14], [5, 12, 11, 10, 8, 19], [15, 22, 16, 4], [18, 17, 20], [21, 23, 24]]
4: [[9, 1], [2, 6, 3, 7, 13, 5], [12, 11, 10, 14], [8, 15, 22, 4, 19], [16, 18], [17, 20], [21, 23, 24]]
5: [[9, 1, 2], [6, 3], [7, 13, 5], [12, 11, 10, 8, 14, 19], [15, 22, 16, 4], [18, 17, 20], [21, 23, 24]]
6: [[1, 2, 9], [6, 3], [7, 13], [15, 12], [5, 10, 14, 4, 19], [8, 11, 22], [16, 18], [17, 20], [21, 23, 24]]
7: [[9], [1, 2], [6, 3], [7, 13, 5], [12, 11], [10, 8, 14, 19], [15, 22, 4], [16, 18, 17, 20], [21, 23, 24]]
8: [[9], [1, 2], [6, 3, 7], [13, 5], [12, 11, 10, 14], [8, 15, 22, 4, 19], [16, 18, 17, 20], [21, 23, 24]]
9: [[9], [1, 2], [6, 3], [7, 13], [5, 12, 15, 4], [10, 8, 14, 19], [11, 22, 16], [18, 17, 20], [21, 23, 24]]
10: [[9], [1, 2], [6, 3], [7, 13, 11, 12], [5, 10, 14, 4, 19], [8, 15, 22], [16, 18], [17, 20, 21], [23, 24]]
11: [[9], [1, 2], [6, 3, 4], [7, 13, 5], [12, 11, 10, 14, 19], [8, 15, 22, 16, 18, 17, 20], [21, 23, 24]]
12: [[9, 1], [2, 6, 3], [7, 13], [5, 12, 11], [10, 8, 15, 14, 19], [22, 16, 4], [18, 17, 20], [21, 23, 24]]
13: [[9], [1, 2], [6, 3], [7, 13], [15, 12, 5, 10, 14, 4, 19], [8, 11, 22], [16, 18], [17, 20], [21, 23, 24]]
14: [[9, 1], [2, 6, 3], [7, 13, 15], [12, 5, 10, 14, 4, 19], [8, 11, 22, 16, 18], [17, 20], [21, 23, 24]]
15: [[9, 1], [2, 6], [3, 7], [13, 11, 12], [5, 10, 14, 4, 19], [8, 15, 22], [16, 18, 17, 20], [21, 23, 24]]
16: [[14, 4, 19], [9, 1], [2, 6], [3, 7, 13, 11], [12, 5, 10, 8, 15, 22, 16, 18, 17, 20], [21, 23, 24]]
17: [[19], [9, 2, 6], [3, 7, 14, 4], [13, 11, 1], [12, 5, 10, 8, 15, 22, 16, 18, 17, 20], [21, 23, 24]]
18: [[9, 1], [2, 6], [3, 7, 13], [11, 12], [5, 10, 8, 14, 19], [15, 22, 4], [16, 18, 17, 20], [21, 23, 24]]
19: [[9, 1], [2, 6], [3, 7, 13], [5, 12, 15, 4], [10, 8, 14, 19], [11, 22, 16], [18, 17, 20], [21, 23, 24]]
20: [[9], [1, 2, 6], [3, 7, 13], [11, 12], [5, 10, 8, 14, 19], [15, 22, 16, 4], [18, 17, 20], [21, 23, 24]]
21: [[1, 2, 9], [6, 3], [7, 13], [5, 12], [11, 10, 14], [8, 15], [22, 16, 4], [18, 17, 19], [20, 21, 23, 24]]
22: [[1, 2, 9], [6, 3], [7, 13], [5, 12], [11, 10, 14], [8, 15], [22, 16, 4], [18, 17, 19], [20, 21, 23, 24]]
23: [[9], [1, 2], [6, 3], [7, 13, 11], [12, 15, 10, 14, 4, 19], [8, 5], [22, 16, 18, 17], [20, 21, 23, 24]]
24: [[1, 2, 9], [6, 3], [7, 13], [5, 12, 11], [10, 8, 14, 19], [15, 22, 16, 4], [18, 17], [20, 21], [23, 24]]
25: [[14, 4, 19], [9, 2, 6, 1], [3, 7, 13, 11, 5, 10, 8, 15, 22, 16, 18, 17, 12], [20, 21, 23, 24]]
26: [[14, 4], [19, 9, 1, 2, 6, 3, 7, 13, 15, 12, 11, 10, 8, 5, 22, 16, 18, 17, 20, 21], [23, 24]]
27: [[9, 1, 2], [6, 3], [7, 13], [11, 12, 5], [10, 8, 15, 14], [22, 16, 4], [18, 17, 19], [20, 21, 23, 24]]
28: [[9], [1, 2], [6, 3, 4], [7, 13, 14], [5, 12, 11], [10, 8, 15, 22, 16, 18, 17, 20, 21, 19], [23, 24]]
29: [[14, 4], [19, 9, 1], [2, 6, 3], [7, 13, 5, 12, 11, 10, 8, 15, 22, 16, 18, 17], [20, 21, 23, 24]]
30: [[14, 4, 19, 9, 1], [2, 6, 3, 7, 13, 15, 12, 11, 10, 8, 5, 22, 16, 18, 17], [20, 21, 23, 24]]
31: [[9], [1, 2], [6, 3], [7, 13], [15, 12, 5], [10, 8, 11, 14], [22, 16, 4], [18, 17, 19], [20, 21, 23, 24]]
32: [[9], [1, 2, 6, 3], [7, 13, 14], [5, 12, 11, 10, 8, 15, 22, 4, 19], [16, 18, 17], [20, 21, 23, 24]]
33: [[9], [1, 2], [6, 3], [7, 13], [5, 12], [15, 10, 14, 4, 19], [8, 11, 22, 16, 18, 17], [20, 21, 23, 24]]
34: [[9], [1, 2], [6, 3, 7], [13, 11], [12, 5, 10, 8, 14, 19], [15, 22, 16, 4], [18, 17], [20, 21, 23, 24]]
35: [[9], [1, 2, 19], [6, 3], [7, 13, 5, 12, 15, 10, 8, 11, 14], [22, 16, 4], [18, 17, 20, 21, 23, 24]]
36: [[19, 4], [9, 1, 2], [6, 3, 7, 13, 5, 12, 11], [10, 8, 15, 14], [22, 16, 18, 17, 20, 21, 23, 24]]
37: [[9], [1, 2], [6, 3, 7], [13, 5], [12, 11], [10, 8, 14, 19], [15, 22, 4], [16, 18], [17, 20, 21, 23, 24]]
38: [[9], [1, 2], [6, 3], [7, 13, 11], [12, 5, 10, 14, 4, 19], [8, 15, 22, 16, 18, 17, 20, 21, 23, 24]]
39: [[9], [1, 2], [6, 3, 7], [13, 5, 12, 11, 10, 8, 14, 19], [15, 22, 4], [16, 18, 17, 20, 21, 23, 24]]
40: [[9], [1, 2], [6, 3, 7, 13], [11, 12, 5, 10, 8, 15, 14, 19], [22, 16, 4], [18, 17, 20, 21, 23, 24]]
41: [[14, 4, 19, 9, 1, 2, 6, 3, 7, 13, 11, 12, 15, 10, 8], [5, 22, 16, 18], [17, 20, 21, 23, 24]]
42: [[9], [1, 2], [6, 3, 7], [13, 5, 12, 4, 19], [11, 10, 14], [8, 15, 22, 16, 18, 17, 20, 21, 23, 24]]
43: [[9, 1, 2, 4, 19], [6, 3, 7], [13, 5, 12, 11], [10, 8, 15, 14], [22, 16, 18, 17, 20, 21, 23], [24]]
