0: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 6, 10, 9]]
1: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 10, 6, 9]]
2: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 10, 6, 9]]
3: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 10, 6, 9]]
4: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 6, 10, 9]]
5: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 6, 10, 9]]
6: [[11, 8], [12, 13, 7], [3, 5, 1, 2], [4, 6, 10, 9]]
7: [[11, 8, 12, 13, 7], [3, 5], [1, 2], [6, 10, 9, 4]]
8: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 6, 10, 9]]
9: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 10, 6, 9]]
10: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 10, 6, 9]]
11: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 10, 6, 9]]
12: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 6, 10, 9]]
13: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 6, 10, 9]]
14: [[11, 8, 12, 7], [13], [3, 5, 1, 2], [4, 6, 10, 9]]
15: [[11, 8, 12, 7], [13, 3, 5], [1, 2], [6, 10, 9, 4]]
16: [[11, 8, 12, 7], [13, 3, 5], [1, 2], [10, 6, 9, 4]]
17: [[11, 8, 12, 7], [13, 3, 5], [1, 2], [10, 6, 9, 4]]
18: [[11, 8, 12, 7], [13, 3, 5], [1, 2], [10, 6, 9, 4]]
19: [[11, 8, 12, 7], [13, 3, 5], [1, 2], [6, 10, 9, 4]]
20: [[11, 8, 12, 7], [13, 3, 5], [1, 2], [6, 10, 9, 4]]
21: [[11, 8], [12, 5, 7], [3, 13, 1, 2], [4, 6, 10, 9]]
22: [[11, 8], [12, 7, 5], [3, 13, 1, 2], [4, 6, 10, 9]]
23: [[11, 8], [12, 7, 5], [3, 13, 1, 2], [4, 6, 10, 9]]
24: [[11, 8], [12, 5, 7], [3, 13, 1, 2], [4, 10, 6, 9]]
25: [[11, 8, 12], [13, 3, 7], [5, 1, 2], [6, 10, 9, 4]]
26: [[11, 8, 12, 10, 7], [3, 5], [1, 2], [6, 13, 9, 4]]
27: [[11, 8, 12], [5, 13], [3, 7, 1, 2], [4, 6, 10, 9]]
