0: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 10, 5, 12, 2]]
1: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
2: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
3: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
4: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
5: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
6: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
7: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
8: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
9: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
10: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
11: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
12: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
13: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
14: [[4, 1, 3], [9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
15: [[4, 1, 3, 9], [6, 8, 11], [13, 7, 2, 10, 5, 12]]
16: [[4, 1, 3, 9], [6, 8, 11], [13, 7, 2, 10, 5, 12]]
17: [[4, 1, 3, 9], [6, 8, 11], [13, 7, 2, 10, 5, 12]]
18: [[4, 1, 3], [9, 6, 8, 11, 13], [7, 2, 10, 5, 12]]
19: [[4, 1, 3], [9, 6, 8, 11, 13], [7, 2, 10, 5, 12]]
20: [[4, 1, 3], [9, 6, 8, 11, 13], [7, 2, 10, 5, 12]]
21: [[4, 1, 3, 9], [6, 8, 11, 13, 7], [2, 10, 5, 12]]
22: [[4, 1, 3], [9, 6, 8], [11, 13, 7, 2, 10, 5, 12]]
23: [[4, 1, 3], [9, 6, 8], [11, 13, 7, 2, 10, 5, 12]]
24: [[4, 1], [3, 9, 6, 8, 11], [13, 7, 2, 10, 5, 12]]
25: [[4, 1, 3, 9], [6, 8, 11, 13], [7, 2, 10, 5, 12]]
26: [[4, 1, 3, 9], [6, 8, 11, 13], [7, 2, 10, 5, 12]]
27: [[4, 1], [3, 9, 6, 8], [11, 13, 7, 2, 10, 5, 12]]
