0: [[9, 7], [22, 6, 2, 1, 37, 3, 4, 27], [5, 12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13, 20, 16, 19, 23, 21], [25, 26, 28], [30, 31, 32, 35, 33, 34], [36]]
1: [[9, 7], [22, 6, 2], [1, 37, 3, 4], [27, 5, 12], [14, 11, 8, 15], [10, 24, 29], [18, 17, 13], [20, 16, 19, 23], [21, 25, 26, 28], [30, 31, 32], [35, 33], [34, 36]]
2: [[9, 7], [22, 6, 2, 1, 37], [3, 4, 27], [5, 12, 14], [11, 8, 15, 10, 24, 29, 18], [17, 13, 20, 16, 19, 23, 21], [25, 26, 28], [30, 31, 32, 35, 33, 34], [36]]
3: [[9, 7], [22, 6, 2], [1, 37, 3, 4], [27, 5, 12], [14, 11, 8, 15], [10, 24, 29], [18, 17, 13], [20, 16, 19, 23], [21, 25, 26, 28], [30, 31, 32], [35, 33], [34, 36]]
4: [[9, 7], [22, 6, 2], [1, 37, 3, 4], [27, 5, 12], [14, 11, 8, 15], [10, 24, 29], [18, 17, 13], [20, 16, 19, 23], [21, 25, 26, 28], [30, 31, 32], [35, 33], [34, 36]]
5: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10], [24, 29, 18], [17, 13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32, 35, 33, 34], [36]]
6: [[9, 7], [22, 6, 2, 1, 37, 3, 4, 27], [5, 12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13, 20, 16, 19, 23, 21], [25, 26, 28, 30, 31, 32], [35], [33, 34, 36]]
7: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8, 15], [10, 24, 29, 18], [17, 13, 20], [16, 19, 23], [21, 25, 26, 28], [30, 31, 32, 35, 33, 34, 36]]
8: [[9, 7], [22, 6], [2, 1, 37], [3, 4, 27, 5, 12, 14], [11, 8, 15, 10], [24, 29, 18, 17], [13, 20, 16], [19, 23, 21], [25, 26, 28], [30, 31, 32, 35, 33, 34], [36]]
9: [[9, 7], [22, 6, 2, 1, 37], [3, 4, 27], [5, 12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13, 20, 16, 19, 23, 21], [25, 26], [28, 30, 31, 32], [35, 33, 34, 36]]
10: [[9, 7, 22], [6, 2, 1, 37], [3, 4, 27], [5, 12, 14], [11, 8, 15], [10, 24, 29], [18, 17, 13], [20, 16, 19], [23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
11: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14], [11, 8, 15], [10, 24, 29, 18], [17, 13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
12: [[9, 7], [22, 6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10, 24], [29, 18, 17], [13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34, 36]]
13: [[9, 7], [22, 6, 2, 1], [37, 3, 4], [27, 5, 12, 14], [11, 8, 15], [10, 24, 29, 18, 17, 13], [20, 16, 19], [23, 21, 25, 26, 28], [30, 31, 32, 35, 33, 34], [36]]
14: [[9, 7], [22, 6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10, 24], [29, 18, 17], [13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32, 35, 33, 34, 36]]
15: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14], [11, 8, 15, 10], [24, 29, 18], [17, 13, 20], [16, 19, 23], [21, 25, 26, 28], [30, 31, 32], [35, 33, 34, 36]]
16: [[9, 7], [22, 6, 2, 1], [37, 3, 4, 27], [5, 12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13, 20], [16], [19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
17: [[9, 7], [22, 6], [2, 1, 37, 3], [4, 27, 5], [12, 14, 11, 8], [15, 10, 24, 29], [18, 17], [13, 20, 16], [19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
18: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11, 8, 15], [10, 24, 29], [18, 17, 13, 20], [16, 19, 23], [21, 25, 26, 28], [30, 31, 32], [35, 33, 34, 36]]
19: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5], [12, 14, 11], [8, 15], [10, 24, 29], [18, 17], [13, 20, 16], [19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
20: [[9, 7], [22, 6, 2, 1, 37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10, 24, 29, 18, 17], [13], [20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
21: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11], [8, 15, 10], [24, 29], [18, 17, 13], [20, 16, 19], [23, 21], [25, 26, 28], [30, 31], [32, 35, 33], [34, 36]]
22: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12, 14, 11, 8, 15], [10, 24, 29], [18, 17, 13, 20, 16, 19], [23], [21, 25, 26, 28], [30, 31], [32, 35, 33, 34, 36]]
23: [[9, 7], [22, 6], [2, 1, 37], [3, 4], [27, 5, 12], [14, 11], [8, 15, 10, 24], [29], [18, 17], [13, 20, 16], [19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
24: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8, 15], [10, 24, 29, 18], [17, 13], [20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
25: [[9, 7], [22, 6], [2, 1, 37], [3, 4], [27, 5], [12, 14, 11, 8], [15, 10, 24, 29], [18, 17, 13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34, 36]]
26: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10, 24], [29, 18, 17, 13], [20, 16, 19], [23, 21], [25, 26, 28], [30, 31, 32, 35], [33, 34, 36]]
27: [[9, 7], [22, 6, 2, 1, 37, 3, 4], [27, 5, 12], [14, 11, 8, 15], [10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21], [25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
28: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11, 8], [15, 10, 24, 29], [18, 17, 13], [20, 16], [19, 23, 21], [25, 26, 28], [30, 31, 32, 35], [33, 34, 36]]
29: [[9, 7, 22], [6, 2, 1, 37], [3, 4, 27], [5], [12, 14, 11, 8], [15, 10, 24, 29], [18, 17, 13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
30: [[9, 7], [22, 6, 2, 1, 37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10], [24, 29, 18, 17], [13, 20, 16], [19, 23, 21, 25], [26, 28, 30], [31, 32, 35, 33], [34, 36]]
31: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27], [5, 12], [14, 11, 8, 15], [10, 24, 29, 18], [17, 13, 20], [16, 19, 23, 21, 25, 26, 28, 30], [31, 32, 35, 33, 34, 36]]
32: [[9, 7], [22, 6, 2], [1, 37], [3, 4, 27, 5], [12, 14, 11, 8], [15, 10, 24, 29], [18, 17, 13, 20], [16, 19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34, 36]]
33: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12, 14], [11, 8, 15], [10, 24, 29, 18], [17, 13], [20, 16, 19, 23, 21], [25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
34: [[9, 7], [22, 6, 2, 1, 37, 3, 4], [27, 5, 12], [14, 11, 8, 15, 10, 24], [29], [18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
