0: [[14, 1, 35, 13, 2, 3], [31, 5, 25, 4, 16, 7, 30, 10, 21, 6], [9, 24, 11, 8, 12], [15, 22, 17, 19, 23, 27, 28, 18], [29, 26, 20, 32, 48, 37, 33, 38], [34, 44, 42, 40, 47, 39, 45, 41], [43, 36, 46, 50, 56, 52, 51, 54], [49, 55, 57, 53, 59, 58, 60]]
1: [[14, 1, 35, 13, 2, 3], [31, 5, 25, 4, 16, 7, 30, 10, 21, 6], [9, 24, 11, 8, 12], [15, 22, 17, 19, 23, 27, 28, 18], [29, 26, 20, 32, 48, 37, 33, 38], [34, 44, 42, 40, 47, 39, 45, 41], [43, 36, 46, 50, 56, 52, 51, 54], [49, 55, 57, 53, 59, 58, 60]]
2: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
3: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
4: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
5: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
6: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
7: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
8: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
9: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
10: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
11: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
12: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
13: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
14: [[6, 1, 35, 13, 2, 3, 21, 4, 31, 5, 11, 25, 8, 22, 7, 30, 14, 28, 27, 17], [9, 10, 12, 15, 16, 18, 19, 20, 23, 24, 26, 29, 40, 32, 37, 33, 38, 34, 44, 42], [36, 47, 39, 45, 41, 43, 46, 52, 50, 48, 49, 51, 54, 53, 55, 56, 57, 59, 58, 60]]
