0: [[2, 9, 1], [5, 3, 6, 4], [10, 14], [15, 8], [7, 11], [12, 13], [16, 18], [17, 19, 20], [21, 22, 23, 24]]
1: [[2, 9, 1], [5, 3, 6, 4], [10, 14], [15, 8], [7, 11], [12, 13], [16, 18], [17, 19, 20], [21, 22, 23, 24]]
2: [[2], [3, 6, 4, 5], [10, 14], [15, 8], [7, 11], [12, 13, 16], [18, 17, 9], [19, 20, 1], [21, 22, 23, 24]]
3: [[2], [3, 6, 4, 5], [10, 14], [15, 8, 7, 11], [12, 13], [16, 18], [17, 19, 20, 9, 1], [21, 22, 23, 24]]
4: [[2], [3, 6, 4, 5], [10, 14], [15, 8, 9], [7, 11, 12], [13, 16, 1], [18, 17, 19, 20], [21, 22, 23, 24]]
5: [[2], [3, 6, 5], [4, 10, 14], [15, 8, 9], [7, 11, 12], [13, 16, 18], [17, 19, 20, 1], [21, 22, 23, 24]]
6: [[2], [6, 4, 9, 5], [10, 14], [15, 8], [7, 11], [12, 13], [16, 18, 17, 3], [19, 20, 1], [21, 22], [23, 24]]
7: [[2], [3], [6, 4, 9, 1, 5], [10, 14], [15, 8], [7, 11], [12, 13], [16, 18, 17, 19, 20], [21, 22, 23, 24]]
8: [[2], [5, 6, 4], [10, 14], [15, 8, 9], [7, 11], [12, 13, 16, 18, 17, 3], [19, 20, 21, 22, 1], [23, 24]]
9: [[2], [3], [6, 4, 10, 5], [14, 15, 8], [7, 11], [12, 13, 16], [18, 17, 9], [19, 20, 1], [21, 22, 23, 24]]
10: [[2, 3], [6, 4, 10, 14], [15, 8, 9], [7, 11], [12, 13, 5], [16, 18, 17], [19, 20, 1], [21, 22], [23, 24]]
11: [[2], [3], [6, 4, 5], [10, 14], [15, 8, 7, 11, 12], [13, 16], [18, 17, 9], [19, 20, 1], [21, 22, 23, 24]]
12: [[2, 9, 1], [5, 3, 6], [4, 10, 14], [15, 8], [7, 11, 12, 13], [16, 18, 17, 19], [20, 21, 22, 23, 24]]
13: [[2, 9, 1], [5, 3, 6, 4], [10, 14], [15, 8], [7, 11, 12], [13, 16, 18], [17, 19], [20, 21, 22, 23, 24]]
14: [[2], [3], [6, 4, 10, 5], [14, 15, 8], [7, 11, 12], [13, 16, 1], [18, 17, 19, 20, 9], [21, 22, 23, 24]]
15: [[2], [3], [6, 4, 9, 1, 5], [10, 14, 15], [8, 7, 11], [12, 13, 16], [18, 17, 19, 20], [21, 22, 23, 24]]
16: [[2], [3, 6, 9], [4, 10, 5], [14, 15], [8, 7, 11, 12, 13], [16, 18, 17, 19, 20, 1], [21, 22, 23, 24]]
17: [[2], [3, 6, 9], [4, 10], [14, 15, 8, 5], [7, 11], [12, 13, 1], [16, 18, 17, 19], [20, 21, 22], [23, 24]]
18: [[2], [3, 6, 4, 1], [10, 14], [15, 8, 7, 11], [12, 13, 5], [16, 18], [17, 19, 9], [20, 21, 22, 23, 24]]
19: [[2], [3], [6, 4, 9, 5], [10, 14], [15, 8], [7, 11, 12], [13, 16, 1], [18, 17, 19], [20, 21, 22], [23, 24]]
20: [[2], [3, 6, 9, 1], [4, 10], [14, 15, 8, 5], [7, 11, 12, 13, 16], [18, 17, 19, 20], [21, 22], [23, 24]]
21: [[2], [3], [6, 4, 9, 1, 5], [10, 14, 15], [8, 7, 11, 12], [13, 16], [18, 17, 19, 20], [21, 22, 23, 24]]
22: [[2, 9, 3, 6, 1], [4, 10, 14, 15], [8, 7, 11, 12, 13, 5], [16, 18, 17, 19], [20, 21, 22, 23, 24]]
