0: [[9, 7, 11], [2, 13, 1], [5, 3, 6], [8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22, 4], [21, 23, 24]]
1: [[9, 7, 6, 11], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
2: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
3: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
4: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
5: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
6: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
7: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
8: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
9: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
10: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
11: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
12: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
13: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
14: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
15: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
16: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
17: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
18: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
19: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
20: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
21: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
22: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
