0: [[20, 35, 32, 19, 4, 3], [27, 17, 1, 8, 14, 7, 2], [12, 11, 24, 9], [13, 5, 6, 21], [31, 23, 15, 22, 16, 10, 18], [28, 30, 25, 26, 29, 37, 36, 33], [38, 34, 45, 39, 40], [42, 43, 41], [44, 46, 47, 51, 56, 48], [49, 54, 55, 57, 53], [50, 52, 59, 60, 58]]
1: [[20, 35, 32, 19, 4, 3], [27, 17, 1, 8, 14, 7, 2], [12, 11, 24, 9], [13, 5, 6, 21], [31, 23, 15, 22, 16, 10, 18], [28, 30, 25, 26, 29, 37, 36, 33], [38, 34, 45, 39, 40], [42, 43, 41], [44, 46, 47, 51, 56, 48], [49, 54, 55, 57, 53], [50, 52, 59, 60, 58]]
2: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 10, 6, 9, 15, 13, 31, 18, 25, 16, 23, 21, 28, 30], [26, 22, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 55, 52, 53, 58, 59, 57, 60]]
3: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 6, 9, 13, 10, 31, 15, 16, 25, 21, 18, 23, 30, 28], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 53, 52, 55, 60, 59, 57, 58]]
4: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 10, 6, 13, 9, 30, 23, 15, 16, 18, 21, 25, 31, 28], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 55, 52, 57, 58, 59, 53, 60]]
5: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 10, 6, 13, 9, 30, 23, 15, 16, 18, 21, 25, 31, 28], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 55, 52, 57, 58, 59, 53, 60]]
6: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 9, 6, 10, 21, 15, 23, 13, 18, 31, 16, 25, 28, 30], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 53, 52, 55, 58, 59, 57, 60]]
7: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 10, 6, 9, 25, 13, 30, 31, 18, 28, 23, 16, 21, 15], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 55, 52, 53, 58, 57, 59, 60]]
8: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 10, 6, 9, 31, 15, 16, 21, 13, 28, 18, 23, 30, 25], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 55, 52, 58, 57, 53, 59, 60]]
9: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 10, 6, 13, 9, 30, 23, 15, 16, 18, 21, 25, 31, 28], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 51, 55, 52, 57, 58, 59, 53, 60]]
10: [[20, 35, 32, 19, 4, 3, 2, 27, 17, 1, 14, 7, 12, 11, 24], [5, 8, 9, 13, 15, 31, 18, 16, 28, 30, 23, 25, 10, 21, 6], [22, 26, 29, 37, 36, 33, 38, 34, 45, 39, 40, 42, 43, 41, 44], [46, 47, 50, 56, 49, 48, 54, 55, 53, 52, 51, 58, 57, 59, 60]]
