0: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
1: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
2: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
3: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
4: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
5: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
6: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
7: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
8: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
9: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
10: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
11: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
12: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
13: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
14: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
15: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
16: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
17: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
18: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
19: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
20: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
21: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
22: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
23: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
24: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
25: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
26: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
