0: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
1: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
2: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
3: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
4: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
5: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
6: [[9, 4, 1, 10], [5, 2, 3], [6, 8, 11], [13, 12, 7]]
7: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
8: [[9, 4, 1, 3], [5, 10, 2], [6, 8, 11], [13, 12, 7]]
9: [[9, 4, 1, 3], [5, 10, 2], [6, 8, 11], [13, 12, 7]]
10: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
11: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
12: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
13: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
14: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
15: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
16: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
17: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
18: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
19: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
20: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
21: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
22: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
23: [[9, 4, 1, 3], [10, 5, 2], [6, 8, 11], [13, 12, 7]]
24: [[9, 4, 1], [5, 2, 3], [10, 6, 8, 11], [13, 12, 7]]
25: [[9, 4, 1], [10, 5, 3], [2, 6, 8, 11], [13, 12, 7]]
26: [[9, 4, 1], [10, 5, 3], [2, 6, 8, 11], [13, 12, 7]]
27: [[9, 4, 1, 10], [6, 2, 3], [5, 8, 11], [13, 12, 7]]
