0: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
1: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
2: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
3: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
4: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
5: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
6: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
7: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
8: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
9: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
10: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
11: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
12: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
13: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
14: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
15: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
16: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
17: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
18: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
19: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
20: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
21: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
22: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
23: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
24: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
25: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
26: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
27: [[1, 12, 2], [10, 4], [3, 5], [6, 8, 11], [9, 13, 7]]
