0: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
1: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
2: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
3: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
4: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
5: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
6: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
7: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
8: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
9: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
10: [[3, 5], [10, 1, 4], [9, 11, 6], [8, 7, 13, 12, 2]]
11: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
12: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 12, 13]]
13: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 12, 13]]
14: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
15: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
16: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
17: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
18: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
19: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
20: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
21: [[3, 5, 10], [1, 4], [9, 11, 6], [8, 2, 7, 13, 12]]
22: [[5, 10, 3, 4], [1], [9, 11, 6], [8, 7, 12, 13, 2]]
23: [[3, 5, 10], [1, 9, 4], [11, 6], [8, 13, 12, 2, 7]]
24: [[3, 5, 10], [1, 9, 4], [11, 6], [8, 13, 12, 2, 7]]
25: [[3, 5, 10], [1, 9, 4], [11, 6], [8, 13, 12, 2, 7]]
26: [[3, 5, 10], [1, 9, 4], [11, 6], [8, 13, 12, 2, 7]]
27: [[3, 5, 10], [1, 9, 4], [11, 6], [8, 13, 12, 2, 7]]
