0: [[3, 5], [9, 2, 1, 10, 4], [8, 6, 11], [13, 7, 12]]
1: [[3, 5], [9, 2, 1, 10, 4], [8, 6, 11], [13, 7, 12]]
2: [[3, 5], [9, 2, 1, 10, 4], [8, 6, 11], [13, 7, 12]]
3: [[3, 5], [9, 2, 1, 10, 4], [8, 6, 11], [13, 7, 12]]
4: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
5: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
6: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
7: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
8: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
9: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
10: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
11: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
12: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
13: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
14: [[3, 5], [9, 2], [1, 10, 4], [8, 6, 11], [13, 12, 7]]
15: [[3, 5], [9, 2, 1], [10, 4], [8, 6, 11], [13, 7, 12]]
16: [[3, 5], [9, 2, 1], [10, 4], [8, 6, 11], [13, 7, 12]]
17: [[3, 5], [9, 2, 6], [1, 10, 4], [8, 11, 13, 7, 12]]
18: [[3, 5], [9], [1, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
19: [[3, 5, 9], [2, 1], [10, 4], [8, 6, 11], [13, 7, 12]]
20: [[3, 5], [9, 2], [1, 10, 4], [8, 6], [11, 13, 7], [12]]
21: [[3, 5], [9, 2], [1, 10, 4], [8, 6], [11, 13, 7], [12]]
22: [[3, 5], [9, 1, 2], [10, 4, 8, 6], [11, 13, 7], [12]]
23: [[3, 5], [9, 2, 1], [10, 4, 8], [6, 11, 13], [7, 12]]
24: [[3, 5], [9, 2, 1], [10, 4, 8], [6, 11, 13], [7, 12]]
25: [[3, 5, 9], [1, 10, 4], [8], [6, 11], [13, 12, 2, 7]]
26: [[3, 5, 9], [2, 1, 10], [4, 8, 6], [11, 13, 7, 12]]
27: [[3, 5], [9, 1, 4], [10, 8, 2], [6, 11, 13, 7], [12]]
