0: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
1: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
2: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
3: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
4: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
5: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
6: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
7: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
8: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
9: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
10: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
11: [[10, 9, 4, 6, 2], [1, 3, 5], [13, 8, 7, 12, 11]]
12: [[10, 9, 4, 6], [2, 1, 3, 5], [13, 8, 7, 12, 11]]
13: [[10, 9, 4, 6], [2, 1, 3, 5], [13, 8, 7, 12, 11]]
14: [[10, 9, 4, 6], [2, 1, 3, 5, 13], [8, 7, 12, 11]]
15: [[10, 9, 4, 6], [2, 1, 3, 5, 13], [8, 7, 12, 11]]
16: [[10, 9, 4, 6, 2, 1], [3, 5], [13, 8, 7, 12, 11]]
17: [[10, 9, 4], [6, 2, 1, 3, 5], [13, 8, 7, 12, 11]]
18: [[10, 9, 4], [6, 2, 1, 3, 5], [13, 8, 7, 12, 11]]
19: [[10, 9, 4, 6, 2], [1, 3, 5, 13], [8, 7, 12, 11]]
20: [[10, 9, 4, 6, 2], [1, 3, 5, 13], [8, 7, 12, 11]]
21: [[10, 9, 4, 6, 2], [1, 3, 5, 13], [8, 7, 12, 11]]
22: [[10, 9, 4, 6, 2], [1, 3, 5, 13], [8, 7, 12, 11]]
23: [[10, 9, 4, 6, 2, 1], [3, 5, 13], [8, 7, 12, 11]]
24: [[10, 9, 4, 6, 2, 1], [3, 5, 13], [8, 7, 12, 11]]
25: [[10, 9, 4, 6, 2], [1, 3], [5, 13, 8, 7, 12, 11]]
26: [[10, 9, 4, 6, 2], [1, 3], [5, 13, 8, 7, 12, 11]]
27: [[10, 9, 4, 6, 2], [1, 3], [5, 13, 8, 7, 12, 11]]
