0: [[10, 8], [1, 3], [7, 5], [11, 12, 13, 9], [2, 14, 6, 4], [17, 19, 18, 20], [16, 15]]
1: [[10, 8], [1, 3], [7, 5], [11, 12, 13, 9], [2, 14, 6, 4], [17, 19, 18, 20], [16, 15]]
2: [[10, 8], [1, 3], [7, 5], [11, 12, 13, 9], [2, 14, 6, 4], [17, 19, 18, 20], [16, 15]]
3: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14, 6, 4], [17, 19, 18, 20], [16, 15]]
4: [[10, 8], [1, 3], [7, 5], [11, 12, 13], [2, 9], [14, 16, 6], [20, 19, 18], [17, 4, 15]]
5: [[10, 8], [1, 3], [7, 5], [11, 12, 13], [2, 9], [14, 16, 6], [20, 19, 18], [17, 4, 15]]
6: [[10, 8], [1, 3], [7, 5], [11, 12, 13], [14, 2, 6, 9], [17, 19, 18, 20, 15, 16, 4]]
7: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 2, 9], [14, 6], [17, 4], [19, 18, 20], [16, 15]]
8: [[10, 8], [1, 3], [7, 5], [11, 12], [9, 13], [14, 2, 6], [17, 4, 19, 18, 20, 16, 15]]
9: [[10, 8], [1, 3], [7, 5], [11, 9], [12, 13], [2, 14, 6], [17, 19, 18, 20, 16, 4, 15]]
10: [[10, 8], [1, 3], [7, 5], [11, 12], [9, 13, 2], [14, 6], [17, 19, 18], [20, 16, 4, 15]]
11: [[10, 8], [1, 3], [7, 5], [11, 9], [13, 12], [2, 14, 6], [4, 17, 20, 19], [18, 16, 15]]
12: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14, 6], [17, 19], [18, 20, 16, 4, 15]]
13: [[10, 8], [1, 3], [7, 5], [11, 12, 13], [2, 9], [14, 17], [20, 19, 18], [16, 6, 15, 4]]
14: [[10, 8], [1, 3], [7, 5], [11, 12, 13, 9], [2, 14, 6, 4, 17, 20, 19, 18, 16, 15]]
15: [[10, 8], [1, 3], [7, 5], [11, 12, 9], [13, 2], [14, 6], [17, 4], [20, 18, 19], [16, 15]]
16: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 15, 14, 6, 4, 17], [18, 20, 16, 19]]
17: [[10, 8], [1, 3], [7, 5], [11, 12], [9, 13, 2], [14, 6], [4, 17, 19], [18, 20], [16, 15]]
18: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14, 6], [4, 17, 19], [18, 20], [16, 15]]
19: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14, 6], [4, 17, 19, 18, 20, 16], [15]]
20: [[10, 8], [1, 3], [7, 5], [11, 9], [12, 13], [2, 14, 6, 17, 19, 18, 20, 4, 16, 15]]
21: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 2], [14, 6], [9, 17], [19, 18, 20], [4, 16, 15]]
22: [[10, 8], [1, 3], [7, 5], [11, 12, 13, 9], [2, 14], [6, 4], [17, 19], [18, 20, 16, 15]]
23: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14], [6, 4], [17, 19, 20], [18, 16, 15]]
24: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14], [6, 4], [17, 19, 20], [18, 16, 15]]
25: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [14, 2, 17, 6], [19, 18, 20, 16, 4, 15]]
26: [[10, 8], [1, 3], [7, 5], [11, 12, 9], [13, 14], [2, 17], [20, 19, 18], [16, 6, 15, 4]]
27: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9, 2, 15, 14, 6], [4, 17, 18, 20], [16, 19]]
28: [[10, 8], [1, 3], [7, 5, 11, 12, 13, 9], [2, 14, 6, 4, 17, 19, 18, 20, 16, 15]]
29: [[10, 8], [1, 3], [7, 5, 11, 9], [13], [2, 12], [14, 6], [17, 4], [19, 18, 20], [16, 15]]
30: [[10, 8], [1, 3], [7, 5], [11, 12], [9, 13, 2], [14, 6, 17, 19, 18, 20, 16], [4, 15]]
31: [[10, 8, 1, 3], [7, 5, 11, 12], [9, 13, 2, 14, 6, 4], [17, 19, 18, 20, 16, 15]]
32: [[10, 8], [1, 3, 7], [5, 11, 9], [12, 13], [14, 2, 6], [17, 20], [19, 18], [16, 15, 4]]
33: [[10, 8], [1, 3, 7], [5, 11, 12, 9], [13, 14, 2, 6], [17, 20, 19], [18, 16, 15, 4]]
34: [[10, 8, 1, 3], [7, 5, 11, 9], [12, 13, 2, 14], [17, 20, 18, 19, 4], [16, 6], [15]]
35: [[10, 8], [1, 3], [7, 5], [11], [9, 13], [2, 12], [14, 6], [17, 4, 19], [18, 20], [16, 15]]
36: [[10, 8], [1, 3], [7, 5], [11, 12], [13, 9], [2, 14], [6, 17], [4, 19], [18, 20], [16, 15]]
37: [[10, 8, 1], [3, 7], [5, 11, 9], [12, 13], [2], [14, 6], [17, 4], [18, 20], [16, 19, 15]]
38: [[10, 8], [1, 3], [7, 5, 11, 12], [9, 13, 14, 2], [6, 17, 20], [19, 18, 16, 15, 4]]
39: [[10, 8], [1, 3, 7], [5, 11], [9, 12], [13, 2], [14, 6, 4], [17, 19], [18, 20], [16, 15]]
40: [[10, 8], [1, 3], [7, 5, 11, 12], [9, 13, 14, 19, 20, 4], [2, 16, 18, 17, 15, 6]]
41: [[10, 8], [1, 3], [7, 5], [11, 9], [13, 2], [12, 14], [6, 17], [4, 19, 18], [20, 16, 15]]
