0: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 22, 19, 12, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
1: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 18, 19, 22, 23], [28, 24], [29, 21, 26, 27, 25]]
2: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 23, 18, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
3: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 22, 19, 12, 23, 18], [28, 24], [29, 21, 26, 27, 25]]
4: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 22, 23, 18], [28, 24], [29, 21, 26, 27, 25]]
5: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
6: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 18, 22, 19, 23], [28, 24], [29, 21, 26, 27, 25]]
7: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 18, 23, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
8: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 22, 12, 19, 14, 23, 18], [28, 24], [29, 21, 26, 27, 25]]
9: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
10: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 23, 18, 22, 19], [28, 24], [29, 21, 26, 27, 25]]
11: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 22, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
12: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 22, 19, 18, 12, 23, 14], [28, 24], [29, 21, 26, 27, 25]]
13: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 23, 14, 18, 12, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
14: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 22, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
15: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 23, 18, 19, 12, 22, 14], [28, 24], [29, 21, 26, 27, 25]]
16: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 19, 18, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
17: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 23, 18, 22, 19], [28, 24], [29, 21, 26, 27, 25]]
18: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 22, 14, 18, 12, 19, 23], [28, 24], [29, 21, 26, 27, 25]]
19: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
20: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 22, 12, 23, 14, 19, 18], [28, 24], [29, 21, 26, 27, 25]]
21: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 23, 19, 14, 18, 22], [28, 24], [29, 21, 26, 27, 25]]
22: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 19, 23, 12, 22, 14], [28, 24], [29, 21, 26, 27, 25]]
