0: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
1: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
2: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
3: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
4: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
5: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
6: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
7: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
8: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
9: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
10: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
11: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
12: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
13: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
14: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
15: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
16: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
17: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
18: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
19: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
20: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
21: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
22: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
23: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
24: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
25: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
26: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14], [6, 7, 11, 12, 13, 22, 19]]
27: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6, 7, 11], [12, 13, 22, 19]]
28: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6, 7], [11, 12, 13, 22, 19]]
29: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6, 7], [11, 12, 13, 22, 19]]
30: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6, 7], [11, 12, 13, 22, 19]]
31: [[15, 9, 17, 18, 8, 16], [24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6, 7], [11, 12, 13, 22, 19]]
32: [[15, 9, 17, 18, 8], [16, 24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
33: [[15, 9, 17, 18, 8], [16, 24, 21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
34: [[15, 9, 17, 18, 8, 16], [24, 21, 2], [23, 3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
35: [[15, 9, 17, 18, 8, 16], [24, 21, 2], [23, 3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
36: [[15, 9, 17, 18, 8, 16, 24], [21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
37: [[15, 9, 17, 18, 8, 16, 24], [21, 2, 23], [3, 1, 20, 10, 4, 5, 14, 6], [7, 11, 12, 13, 22, 19]]
38: [[15, 9, 17, 18, 8, 16], [24, 21, 2], [23, 3, 1, 20, 10, 4, 5, 14], [6, 7, 11, 12, 13, 22, 19]]
39: [[15, 9, 17, 18, 8, 16], [24, 21, 2], [23, 3, 1, 20, 10, 4, 5, 14], [6, 7, 11, 12, 13, 22, 19]]
40: [[15, 9, 17, 18, 8, 16], [24, 21, 2], [23, 3, 1, 20, 10, 4, 5, 14], [6, 7, 11, 12, 13, 22, 19]]
