0: [[6, 13, 3], [1, 2], [4, 5], [9, 8], [7, 14, 11, 10], [12, 15, 18], [17, 16, 22, 20, 19], [21, 23, 24]]
1: [[6, 13, 3], [1, 2], [4, 5], [9, 8], [7, 14, 11, 10], [12, 15, 18], [17, 16, 22, 20, 19], [21, 23, 24]]
2: [[1, 6, 13, 3], [2, 4, 5], [9, 8], [7, 14, 11, 10], [12, 15, 18], [17, 16, 22, 20, 19], [21, 23, 24]]
3: [[1, 2, 6, 13], [4, 5], [9, 8], [7, 14, 11], [10, 12, 15], [18, 17, 16, 3], [22, 20, 19], [21, 23, 24]]
4: [[1, 2, 4], [5, 9, 8, 6, 13], [7, 14], [11, 10, 12], [15, 18, 17], [16, 22, 3], [20, 19], [21, 23, 24]]
5: [[1, 13], [2, 4], [5, 9, 8, 6], [7, 14, 11, 10], [12, 15], [18, 17, 16, 22, 3], [20, 19], [21, 23, 24]]
6: [[1, 2], [4, 5, 9, 6], [8, 7, 14, 13], [11, 10, 12], [15, 18], [17, 16, 3], [22, 20, 19], [21, 23, 24]]
7: [[1, 2, 6, 13], [4, 5], [9, 8], [7, 14], [11, 10], [12, 15, 18], [17, 16, 3], [22, 20, 19], [21, 23, 24]]
8: [[1, 13], [2, 4, 5], [9, 8, 7, 6], [14, 11, 10], [12, 15, 18], [17, 16, 3], [22, 20, 19], [21, 23, 24]]
9: [[1, 13], [2, 4], [5, 9, 8, 6], [7, 14, 11], [10, 12], [15, 18, 17], [16, 22, 3], [20, 19], [21, 23, 24]]
10: [[1, 2], [4, 5, 9, 6], [8, 7], [14, 11, 10], [12, 15, 13], [18, 17], [16, 22, 20, 19, 3], [21, 23, 24]]
11: [[1, 13], [2, 4], [5, 9, 8, 6], [7, 14], [11, 10], [12, 15, 18, 17, 16, 3], [22, 20, 19], [21, 23, 24]]
12: [[1, 2, 4], [5, 9, 8, 6, 13], [7, 14, 11, 10], [12, 15, 18], [17, 16, 3], [22, 20], [19, 21], [23, 24]]
13: [[1, 2, 4], [5, 9, 8, 6, 13], [7, 14, 11, 10], [12, 15, 18], [17, 16, 3], [22, 20], [19, 21], [23, 24]]
14: [[1, 13], [2, 4], [5, 9, 8, 6], [7, 14, 11], [10, 12, 15], [18, 17], [16, 22, 3], [20, 19], [21, 23, 24]]
15: [[1, 2, 4], [5, 9], [8, 7, 14, 6, 13], [11, 10, 12], [15, 18, 17, 16, 3], [22, 20, 19], [21, 23, 24]]
16: [[1, 2, 4], [5, 9], [8, 7, 14, 6, 13], [11, 10], [12, 15, 18], [17, 16, 22, 3], [20, 19], [21, 23, 24]]
17: [[1, 2, 13], [4, 5, 9, 8, 6], [7, 14, 11], [10, 12], [15, 18], [17, 16, 3], [22, 20, 19, 21], [23, 24]]
18: [[13], [2, 4, 1], [5, 9], [8, 7], [14, 11, 10, 12, 6], [15, 18, 17], [16, 22, 20, 19, 3], [21, 23, 24]]
19: [[1, 2, 13], [4, 5], [9, 8, 7, 6], [14, 11, 10], [12, 15, 18, 17, 16, 22, 20, 3], [19, 21, 23, 24]]
20: [[1, 13], [2, 4], [5, 9], [8, 7], [14, 11, 10], [12, 15, 6], [18, 17, 16, 22, 3], [20, 19], [21, 23, 24]]
21: [[1, 13], [2, 4], [5, 9], [8, 7, 14], [11, 10], [12, 15, 6], [18, 17, 16, 22, 3], [20, 19], [21, 23, 24]]
22: [[1, 2], [4, 5, 9, 6], [8, 7, 14, 13], [11, 10, 12], [15, 18], [17, 16, 22, 3], [20, 19, 21], [23, 24]]
23: [[1, 2], [4, 5, 9, 6], [8, 7, 14], [11, 10], [12, 15, 18, 13], [17, 16, 22, 3], [20, 19, 21], [23, 24]]
24: [[1, 2], [4, 5, 9, 6], [8, 7, 14], [11, 10], [12, 15, 18, 13], [17, 16, 22, 3], [20, 19, 21], [23, 24]]
25: [[1, 13], [2, 4], [5, 9, 8, 6], [7, 14, 11, 10], [12, 15], [18, 17], [16, 22, 3], [20, 19, 21], [23, 24]]
26: [[1, 13], [2, 4, 5], [9, 8, 7, 6], [14, 11, 10], [12, 15, 18], [17, 16, 22, 3], [20, 19, 21], [23, 24]]
27: [[1, 13], [2, 4, 5], [9, 8, 7, 6], [14, 11, 10], [12, 15, 18], [17, 16, 22, 3], [20, 19, 21], [23, 24]]
28: [[1, 6, 13], [2, 4, 5], [9, 8], [7, 14, 11], [10, 12, 15, 18], [17, 16, 3], [22, 20], [19, 21], [23, 24]]
29: [[1, 2, 4], [5, 9], [8, 7, 14, 6, 13], [11, 10, 12], [15, 18, 17], [16, 22, 3], [20, 19], [21], [23, 24]]
30: [[1, 2, 4], [5, 9], [8, 7, 13], [14, 11, 10, 12, 6], [15, 18], [17, 16, 3], [22, 20], [19, 21], [23, 24]]
31: [[1, 2, 13], [4, 5], [9, 8, 7, 6], [14, 11, 10], [12, 15, 18], [17, 16, 22, 3], [20, 19, 21, 23, 24]]
32: [[1, 2, 13], [4, 5], [9, 8, 7, 6], [14, 11], [10, 12], [15, 18], [17, 16, 3], [22, 20], [19, 21, 23, 24]]
33: [[13], [2, 4], [5, 9], [8, 7], [14, 11, 10], [12, 15, 18], [17, 16, 22, 6, 3], [20, 19, 21, 1], [23, 24]]
34: [[1, 13], [2, 4], [5, 9, 8, 6], [7, 14, 11], [10, 12, 15], [18, 17, 16, 3], [22, 20, 19], [21, 23], [24]]
35: [[1, 2, 13], [4, 5], [9, 8, 7, 14, 6], [11, 10, 12, 3], [15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
36: [[1], [2, 4, 5, 9, 6], [8, 7, 13], [14, 11], [10, 12], [15, 18], [17, 16, 3], [22, 20], [19, 21, 23, 24]]
37: [[6, 13, 3], [1, 2], [4, 5], [9, 8], [7, 14], [11, 10], [12, 15], [18, 17, 16, 22, 20, 19, 21, 23, 24]]
38: [[1, 13], [2, 4, 5, 9, 8, 6, 3], [7, 14], [11, 10], [12, 15, 18], [17, 16, 22, 20, 19, 21, 23, 24]]
39: [[13], [1, 2, 3], [4, 5, 9, 6], [8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
40: [[6, 13, 3], [1, 2, 4], [5, 9, 8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
41: [[6, 13, 3, 1], [2, 4, 5, 9], [8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
42: [[1, 13], [2, 4, 3], [5, 9, 8, 6], [7, 14], [11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
43: [[13, 6, 3], [1], [2, 4, 5], [9, 8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
44: [[1, 2], [4, 5, 9, 6], [8, 7, 13], [14, 11], [10, 12, 15, 3], [18, 17, 16, 22, 20, 19, 21, 23, 24]]
45: [[6, 13, 3, 1], [2, 4], [5, 9, 8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23], [24]]
46: [[1], [2, 4], [5, 9], [8, 7, 13], [14, 11, 10, 6, 3], [12, 15, 18], [17, 16, 22, 20, 19, 21, 23, 24]]
47: [[13], [1, 3], [2, 4], [5, 9, 6], [8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
48: [[13], [1], [2, 4, 6, 3], [5, 9, 8, 7, 14, 11, 10, 12, 15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
49: [[13, 2, 4, 1], [5, 9], [8, 7], [14, 11, 6], [10, 12, 3], [15, 18, 17, 16, 22, 20, 19, 21, 23, 24]]
