0: [[1, 15, 2, 9, 8, 13], [17, 5, 6, 11, 7], [3, 12, 18, 16], [4, 22], [10, 19, 14, 20], [21, 23, 24]]
1: [[11, 7, 16], [1, 15, 2, 9, 8, 13], [17, 5, 6], [3, 12, 18], [4, 22], [10, 19, 14, 20], [21, 23, 24]]
2: [[11, 7, 16], [1, 15, 2, 9, 8, 13], [17, 5], [6, 3, 12], [18, 4, 22], [10, 19, 14, 20], [21, 23, 24]]
3: [[11, 7], [16, 1], [15, 2], [9, 8, 13], [17, 5, 6], [3, 12, 18], [4, 22], [10, 19, 14, 20], [21, 23, 24]]
4: [[11, 7], [16, 1], [15, 2], [9, 8, 13], [17, 5, 6, 3], [12, 18, 4, 22], [10, 19, 14, 20], [21, 23, 24]]
5: [[1, 15, 2, 9, 8, 13], [17, 5, 6, 11, 7], [3, 12, 18, 16], [4, 22, 10], [19, 14, 20], [21, 23, 24]]
6: [[11, 7, 16], [1, 15, 2], [9, 8, 13], [17, 5], [6, 3], [12, 18, 4, 22], [10, 19], [14, 20], [21, 23, 24]]
7: [[11, 7], [16, 1], [15, 2], [9, 8], [13, 17, 5], [6, 3, 12], [18, 4, 22], [10, 19, 14, 20], [21, 23, 24]]
8: [[11, 7], [16, 1], [15, 2], [9, 8], [13, 17, 5], [6, 3, 12, 18], [4, 22], [10, 19], [14, 20], [21, 23, 24]]
9: [[11, 7], [16, 1], [15, 2, 9, 8], [13, 17, 5], [6, 3, 12], [18, 4, 22], [10, 19], [14, 20], [21, 23, 24]]
10: [[1, 15, 2], [9, 8, 13], [17, 5], [6, 3, 16], [12, 18, 4], [22, 10, 11, 7], [19, 14, 20], [21, 23, 24]]
11: [[1], [15, 2, 9], [8, 13, 17, 11, 7], [5, 6], [3, 12, 18, 16], [4, 22], [10, 19], [14, 20], [21, 23, 24]]
12: [[11, 7, 16], [1, 15, 2], [9, 8, 13, 17], [5, 6], [3, 12], [18, 4, 22], [10, 19], [14, 20], [21, 23, 24]]
13: [[11, 7, 16, 1], [15, 2], [9, 8, 13, 17], [5, 6, 3, 12], [18, 4, 22], [10, 19], [14, 20], [21, 23, 24]]
14: [[1, 15, 2], [9, 8, 13], [17, 5], [6, 3, 12], [18, 4, 16], [22, 10, 11, 7], [19, 14, 20], [21, 23, 24]]
15: [[1, 15], [2, 9, 8, 13], [17, 5], [6, 3, 16], [12, 18, 4], [22, 10, 11, 7], [19, 14, 20], [21, 23, 24]]
16: [[1, 15], [2, 9, 8, 13], [17, 5], [6, 3, 16], [12, 18, 4], [22, 10, 11, 7], [19, 14, 20], [21, 23, 24]]
