0: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
1: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
2: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
3: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
4: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
5: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
6: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
7: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
8: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
9: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
10: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
11: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
12: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
13: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
14: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
15: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
16: [[5, 3, 2, 1, 4], [13, 7, 12, 10], [6, 9, 11, 8]]
17: [[5, 3, 2, 1], [4, 13, 7, 12, 10], [6, 9, 11, 8]]
18: [[5, 3, 2, 1], [4, 13, 7, 12, 10], [6, 9, 11, 8]]
19: [[5, 3, 2, 1], [4, 13, 7, 12, 10], [6, 9, 11, 8]]
20: [[5, 3, 2, 1], [4, 13, 7, 12, 10], [6, 9, 11, 8]]
21: [[5, 3, 2, 1], [4, 13, 7, 12, 10], [6, 9, 11, 8]]
22: [[5, 3, 2, 1], [4, 13, 7, 12, 10], [6, 9, 11, 8]]
23: [[5, 3, 2, 1], [4, 13, 7, 12], [10, 6, 9, 11, 8]]
24: [[5, 3, 2, 1], [4, 13, 7, 12], [10, 6, 9, 11, 8]]
25: [[5, 3, 2, 1], [4, 13, 7, 12], [10, 6, 9, 11, 8]]
