0: [[36, 1, 7, 9, 68, 13, 23], [3, 25, 69, 10, 39, 53], [77, 84, 78, 41, 2, 12, 22], [64, 26, 32, 65], [14, 11, 47, 80, 15, 71, 75], [28, 55, 16, 17], [38, 19, 49, 20], [27, 24, 5, 87, 73], [48, 33, 29, 30, 31, 74], [59, 46, 21], [61, 34, 35, 37, 40, 51, 66, 72], [42, 43, 52, 44, 8], [54, 60], [6, 62, 79, 67, 57], [70, 4, 81], [58, 45, 76, 50, 18, 56, 63], [82, 83, 86, 88, 85]]
1: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 41, 40, 42, 44, 47, 49, 57, 48, 53, 51, 52, 55, 60, 54, 56, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
2: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 53, 40, 38, 41, 37, 42, 46, 47, 49, 44, 56, 51, 48, 55, 54, 57, 52, 61, 60, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
3: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 53, 42, 38, 40, 37, 41, 44, 47, 46, 57, 48, 49, 54, 51, 55, 56, 52, 60, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
4: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 40, 41, 42, 44, 47, 48, 56, 52, 57, 51, 49, 54, 61, 60, 55, 53, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
5: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 40, 44, 51, 41, 47, 49, 53, 42, 54, 55, 52, 56, 57, 60, 48, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
6: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 40, 42, 44, 41, 47, 56, 57, 48, 55, 49, 52, 51, 53, 54, 61, 60, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
7: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 44, 38, 41, 40, 42, 46, 47, 57, 52, 56, 49, 53, 48, 51, 54, 61, 55, 60, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
8: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 41, 40, 44, 42, 47, 49, 52, 48, 51, 54, 56, 55, 57, 53, 60, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
9: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 53, 42, 38, 41, 37, 40, 46, 47, 44, 49, 48, 54, 55, 52, 60, 51, 57, 56, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
10: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 53, 40, 38, 41, 44, 46, 42, 37, 54, 49, 56, 47, 48, 52, 55, 57, 51, 60, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
11: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 41, 40, 42, 44, 47, 51, 52, 48, 49, 53, 54, 55, 57, 56, 60, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
12: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 53, 42, 38, 40, 37, 41, 44, 47, 60, 48, 49, 46, 52, 51, 57, 54, 56, 55, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
13: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 40, 41, 42, 44, 47, 56, 49, 48, 55, 52, 51, 61, 53, 60, 57, 54, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
14: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 41, 40, 44, 42, 47, 48, 49, 52, 51, 55, 53, 54, 60, 56, 57, 61, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
15: [[20, 9, 10, 8, 32, 34, 6, 3, 39, 4], [1, 2, 13, 5, 11, 14, 23, 30, 25, 12, 16, 18, 21, 17, 22, 19, 26, 24, 28, 29, 50, 59, 58, 43, 62, 36, 33], [7, 27, 63, 15, 45, 31, 35, 37, 46, 38, 40, 41, 42, 44, 61, 49, 47, 48, 51, 55, 52, 54, 56, 53, 60, 57, 68, 65, 64], [69, 66, 78, 70, 71, 74, 73, 67, 75, 72, 76, 77, 79, 84, 81, 80, 83, 82, 85, 87, 86, 88]]
