0: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
1: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
2: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
3: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
4: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
5: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
6: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
7: [[10, 1, 2, 4], [3, 5], [6, 9], [8, 12, 11, 13, 7]]
8: [[10, 2], [1, 3, 5, 4], [6, 9], [8, 12, 11, 13, 7]]
9: [[10, 2], [1, 5, 3, 4], [6, 9], [8, 12, 11, 13, 7]]
10: [[10, 2], [1, 3, 5, 4], [6, 9], [8, 12, 11, 13, 7]]
11: [[10, 2], [1, 3, 5, 4], [6, 9], [8, 12, 11, 13, 7]]
12: [[10, 2], [1, 3, 5, 4], [6, 9], [8, 12, 11, 13, 7]]
13: [[10, 2], [1, 3, 5, 4], [6, 9], [8, 12, 11, 13, 7]]
14: [[10, 2], [1, 3, 5, 4], [6, 9], [8, 12, 11, 13, 7]]
15: [[10, 1, 3, 4, 2], [5], [6, 9], [8, 12, 11, 13, 7]]
16: [[10, 2], [4, 1], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
17: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
18: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
19: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
20: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
21: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
22: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
23: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
24: [[10, 2], [1, 4], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
25: [[10, 2], [4, 1], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
26: [[10, 2], [4, 1], [3, 5, 6, 9], [8, 12, 11, 13, 7]]
27: [[10, 2, 1, 5], [3, 4], [6, 9], [8, 12, 11, 13, 7]]
