0: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
1: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
2: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
3: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
4: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
5: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
6: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
7: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
8: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
9: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
10: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
11: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
12: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
13: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
14: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
15: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
16: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
17: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
18: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
19: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
20: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
21: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
22: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
23: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
24: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
25: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
26: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
27: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
28: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
29: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
30: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
31: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
32: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
