0: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42], [39, 34], [45, 56, 46], [40, 44, 47], [54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82], [85, 83, 87, 88]]
1: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
2: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42], [39, 34], [45, 56, 46], [40, 44, 47], [54, 49], [48, 61, 55], [50, 53, 59], [58], [62, 57, 63, 67, 66, 68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
3: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
4: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54], [49, 48, 61], [55, 50], [53, 59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
5: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
6: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38, 4], [1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83], [87, 88]]
7: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49, 48], [61, 55, 50], [53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
8: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38, 4], [1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54], [49, 48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68], [84, 64, 71], [69, 73, 75], [72, 76, 80, 74], [70, 77, 81], [86, 79, 82], [85, 83, 87, 88]]
9: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67], [66, 68, 84], [64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
10: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
11: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
12: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77, 81], [86, 79, 82], [85, 83, 87], [88]]
13: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18], [20, 28, 29], [25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72, 76], [80, 74, 70], [77, 81, 86, 79, 82, 85, 83, 87, 88]]
