0: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
1: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
2: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
3: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
4: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
5: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
6: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
7: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
8: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
9: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
10: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
11: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
12: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
13: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
14: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
15: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
16: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
17: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
18: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
19: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
20: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
21: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
22: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
23: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
24: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
25: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
26: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12, 14], [15, 16], [19, 18, 20]]
27: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12, 14], [15, 16], [19, 18, 20]]
28: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12, 14], [15, 16], [19, 18, 20]]
29: [[1, 3], [9, 4, 17, 6], [8, 2, 5, 7, 10], [11, 13, 12, 14], [15, 16], [19, 18, 20]]
30: [[1, 3], [6, 8, 9, 4], [2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20, 17]]
31: [[1, 3], [6, 8, 9, 4], [2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20, 17]]
32: [[1, 3], [17, 9, 4], [6, 8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
33: [[1, 3], [17, 9, 4], [6, 8, 2, 5, 7, 10], [11, 13, 12], [14, 15], [16, 19, 18, 20]]
34: [[1, 3], [6, 9, 4], [8, 2, 5, 7, 10, 11], [13, 12, 14], [15, 16], [19, 18, 20, 17]]
35: [[1, 3], [6, 8, 9, 4], [2, 5, 7, 10, 11], [13, 12], [14, 15], [16, 19, 18, 20, 17]]
36: [[1, 3], [6, 8, 9, 4], [2, 5, 7, 10, 11], [13, 12], [14, 15], [16, 19, 18, 20, 17]]
37: [[1, 3], [6, 8, 9, 4], [2, 5, 7, 10, 11], [13, 12], [14, 15], [16, 19, 18, 20, 17]]
38: [[1, 3], [6, 8, 9, 4], [2, 5, 7, 10, 11], [13, 12], [14, 15], [16, 19, 18, 20, 17]]
39: [[1, 3], [17, 9, 4], [6, 8, 2, 5, 7], [10, 11, 13, 12, 14], [15, 16], [19, 18, 20]]
40: [[1, 3], [17, 9, 4], [6, 8, 2, 5, 7], [10, 11, 13, 12], [14, 15], [16, 19, 18, 20]]
41: [[1, 3], [17, 9, 4], [6, 8, 2, 5, 7], [10, 11, 13, 12], [14, 15], [16, 19, 18, 20]]
