0: [[39], [32, 56, 37, 17, 25], [48], [38, 40, 59, 4, 44, 18], [58, 29, 8, 45], [35, 57, 7, 2], [22, 53, 41, 42], [36, 30, 3, 31, 46, 50, 51], [1, 5], [14, 49, 26], [15, 55, 33, 6, 10], [20, 28, 60, 19, 24, 34, 12], [47], [43, 23, 27, 11], [52, 9, 13, 21], [16, 54]]
1: [[39], [32, 56, 37, 17, 25], [48], [38, 40, 59, 4, 44, 18], [58, 29, 8, 45], [35, 57, 7, 2], [22, 53, 41, 42], [36, 30, 3, 31, 46, 50, 51], [1, 5], [14, 49, 26], [15, 55, 33, 6, 10], [20, 28, 60, 19, 24, 34, 12], [47], [43, 23, 27, 11], [52, 9, 13, 21], [16, 54]]
2: [[39], [32, 56, 37, 17, 25], [48], [38, 40, 59, 4, 44, 18], [58, 29, 8, 45], [35, 57, 7, 2], [22, 53, 41, 42], [36, 30, 3, 31, 46, 50, 51], [1, 5], [14, 49, 26], [15, 55, 33, 6, 10], [20, 28, 60, 19, 24, 34, 12], [47], [43, 23, 27, 11], [52, 9, 13, 21], [16, 54]]
3: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 29, 16, 21, 19, 15, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
4: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 15, 16, 19, 21, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
5: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 16, 21, 15, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
6: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 15, 13, 16, 25, 29, 19, 10, 21, 6], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
7: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 29, 13, 16, 15, 25, 19, 21], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
8: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 15, 13, 16, 19, 21, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
9: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 29, 16, 15, 19, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
10: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 21, 29, 16, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
