0: [[15, 9, 20, 8], [3, 10, 14, 4], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
1: [[15, 9, 20, 8], [3, 10, 14, 4], [6, 1, 2, 13, 5], [7, 11, 22], [12, 16, 17, 19, 18], [24, 21, 23]]
2: [[15, 9, 20, 8], [3, 10, 14, 4], [6, 1, 2, 13, 5], [7, 11, 22], [12, 16, 17, 19, 18], [24, 21, 23]]
3: [[15, 9, 8], [20, 3, 10, 14], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18, 4], [24, 21, 23]]
4: [[15, 9, 8], [20, 3, 10, 14], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18, 4], [24, 21, 23]]
5: [[15, 9, 8], [20, 3, 10, 14], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18, 4], [24, 21, 23]]
6: [[15, 9, 8], [20, 3, 10, 14], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18, 4], [24, 21, 23]]
7: [[15, 9, 8], [20, 3, 10, 14], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18, 4], [24, 21, 23]]
8: [[15, 9, 8], [20, 3, 10, 14], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18, 4], [24, 21, 23]]
9: [[15, 9, 8], [14, 4, 20, 3, 10], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
10: [[15, 9, 8], [14, 4, 20, 3, 10], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
11: [[15, 9, 8], [14, 4, 20, 3, 10], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
12: [[15, 9, 8], [14, 4, 20, 3, 10], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
13: [[15, 9, 8], [14, 4, 20, 3, 10], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
14: [[15, 9, 8], [14, 4, 20, 3, 10], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
15: [[15, 8], [4, 20, 3, 10, 6, 14], [1, 2, 13, 5, 9], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
16: [[14, 4, 20, 3, 10], [6, 1, 2, 13, 5, 9, 8], [7, 11], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
17: [[14, 4, 20, 3, 10], [6, 1, 2, 13, 5, 9, 8], [7, 11], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
18: [[15, 8], [4, 20, 3, 10, 6, 14], [1, 2, 13, 5, 9], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
19: [[15, 4, 20, 8], [3, 10, 6, 14], [1, 2, 13, 5, 9], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
20: [[15, 9, 20, 8], [3, 10, 14, 4], [6, 1, 2, 13], [5, 7, 11, 22], [12, 16, 17, 19, 18], [24, 21, 23]]
