0: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
1: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
2: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
3: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
4: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
5: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
6: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
7: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
8: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17, 18, 20]]
9: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 13, 12, 15, 16, 9], [19, 17, 18, 20]]
10: [[5, 10, 2, 1], [3, 8, 11], [14, 4, 6], [7, 13, 12, 9], [16, 19, 15], [17, 18, 20]]
11: [[5, 10, 2], [1, 3, 8, 11], [14, 7, 4, 6], [13, 12, 9], [16, 19, 17, 15], [20, 18]]
12: [[5, 10, 2], [1, 3, 8], [11, 14, 4], [6, 7], [13, 9], [12, 15, 16], [19, 17, 18, 20]]
13: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 19, 15], [17, 18, 20]]
14: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 13, 12, 15, 16, 9], [19, 17, 18, 20]]
15: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 13, 9], [12], [16, 15], [19, 17, 18, 20]]
16: [[5, 10, 2], [1, 3, 8, 11], [14, 7, 13, 9, 4, 6], [12, 15, 16, 19, 17, 20, 18]]
17: [[5, 10], [2, 1, 3, 8], [11, 14, 4, 6], [7, 13, 9], [12, 16, 15], [19, 17, 20, 18]]
18: [[5, 10, 2], [1, 3], [8, 11], [14, 4, 6], [7, 13, 9], [12, 16, 15], [19, 17, 20, 18]]
19: [[5, 10, 2], [1, 3, 8, 11], [14, 4, 6], [7, 9], [13, 12, 16, 15], [18, 17], [19, 20]]
20: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17], [18, 20]]
21: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 9], [13, 12], [16, 15], [19, 17], [18, 20]]
22: [[5, 10, 2], [1, 3, 8], [11, 14, 4], [7, 6], [13, 12, 9], [16, 19, 17, 15], [18, 20]]
23: [[5, 10, 2], [1, 3, 8], [11, 14], [4, 6], [7, 9, 13, 12], [15, 16, 19, 17, 18, 20]]
24: [[5, 10, 2], [1, 3, 8], [11, 14, 4, 6], [7, 13, 9], [12, 16, 19, 15], [17, 18, 20]]
25: [[5, 10, 2], [1, 3, 8], [11, 14], [4, 6], [7, 13, 9, 12], [15, 16, 19], [17, 18, 20]]
26: [[5, 10, 2, 1], [3, 8], [11, 14], [4, 6], [7, 9, 13, 12], [15, 16, 19, 17, 18, 20]]
27: [[5, 10, 2, 1], [3, 8], [11, 14, 4, 6], [7, 9], [13, 12, 15, 16, 19, 17, 18, 20]]
28: [[5, 10, 2], [1, 3, 8], [11, 14, 4], [7, 6], [13, 12, 15, 17, 18, 16, 19, 20, 9]]
29: [[5, 10], [2, 1, 3], [8, 11], [14, 4, 6], [7, 9], [13, 12], [16, 19, 15], [17, 18, 20]]
30: [[5, 10, 2], [1, 3, 8], [11, 14], [7, 13, 9, 4, 6], [12], [16, 19, 17, 18, 20, 15]]
31: [[5, 10, 2], [1, 3, 8], [11, 14, 4], [7, 13, 9, 6], [12, 16, 19, 17, 20, 15], [18]]
32: [[5, 10, 2], [1, 3, 8], [11, 14, 4], [7], [13, 9], [12], [16, 19, 6, 15], [17, 18, 20]]
33: [[5, 10, 2], [1, 3, 8], [11, 14], [7, 13, 4, 6], [12, 15, 16, 19, 17, 18, 20], [9]]
34: [[5, 10], [2, 1, 3], [8, 11, 14], [4, 6], [7, 9], [13, 12], [15, 16], [19, 17, 18, 20]]
35: [[5, 10, 2], [1, 3], [8, 11], [14, 7, 4, 6], [13, 12, 15, 16, 19, 17, 18, 20, 9]]
36: [[5, 10, 2], [1, 3, 8], [11, 14], [7, 13, 9, 4], [12], [16, 19, 6, 15], [17, 18, 20]]
37: [[5, 10], [2, 1, 3], [8, 11, 14, 4], [7, 9, 6], [13, 12], [18], [17, 16, 19, 20, 15]]
38: [[5, 10], [2, 1, 3], [8, 11], [14, 4, 6], [7, 9], [13, 12, 17, 15], [18, 16, 19, 20]]
39: [[5, 10, 2], [1, 3, 8], [11, 14], [7, 13, 12, 4, 6], [16, 19, 17, 9, 15], [18, 20]]
40: [[5, 10], [2, 1, 3, 8, 11, 14, 4, 6], [7, 13, 12, 9, 15, 18, 17, 16, 19, 20]]
41: [[5, 10, 2], [1, 3], [8, 11, 14, 7, 13, 12, 4, 6], [15, 18, 19, 16, 20, 9], [17]]
