0: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
1: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
2: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
3: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
4: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
5: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
6: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
7: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
8: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
9: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
10: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
11: [[12, 2, 13], [1, 4, 5, 3, 10], [6, 11, 8, 9, 7]]
12: [[12, 2, 13, 1], [4, 5, 3, 10], [6, 11, 8, 9, 7]]
13: [[12, 2, 13], [1, 4, 5, 3, 10, 6], [11, 8, 9, 7]]
14: [[12, 2, 13], [1, 4, 5, 3, 10, 6], [11, 8, 9, 7]]
15: [[12, 2, 13], [1, 4, 5, 3, 10, 6], [11, 8, 9, 7]]
16: [[12, 2, 13], [1, 4, 5, 3, 10, 6], [11, 8, 9, 7]]
17: [[12, 2, 13], [1, 4, 5, 3, 10, 6], [11, 8, 9, 7]]
18: [[12, 2, 13], [1, 4, 5, 3, 10, 6], [11, 8, 9, 7]]
19: [[12, 2, 13, 1], [4, 5, 3, 10], [6, 11, 8, 9, 7]]
20: [[12, 2, 13, 1], [4, 5, 3, 10], [6, 11, 8, 9, 7]]
21: [[12, 2, 13], [1, 4, 5, 3], [10, 6, 11, 8, 9, 7]]
22: [[12, 2, 13], [1, 4, 5, 3], [10, 6, 11, 8, 9, 7]]
23: [[12, 2, 13, 1], [4, 5, 3, 10, 6], [11, 8, 9, 7]]
24: [[12, 2, 13, 1], [4, 5, 3, 10, 6], [11, 8, 9, 7]]
25: [[12, 2], [13, 1, 4, 5, 3], [10, 6, 11, 8, 9, 7]]
26: [[12, 2], [13, 1, 4, 5, 3], [10, 6, 11, 8, 9, 7]]
27: [[12, 2, 13, 1], [4, 5, 3, 10, 6, 11], [8, 9, 7]]
