0: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
1: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
2: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
3: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
4: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
5: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
6: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
7: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
8: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
9: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
10: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
11: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
12: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
13: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
14: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
15: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
16: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
17: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
18: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
