0: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 4, 6], [12, 13, 9], [15, 16, 17, 18, 19, 20]]
1: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
2: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
3: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
4: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
5: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
6: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
7: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
8: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
9: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
10: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
11: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
12: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
13: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
14: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
15: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
16: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
17: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
18: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
19: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
20: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
21: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
22: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
23: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
24: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13, 15], [16, 17, 18, 19, 20]]
25: [[11, 3], [1, 2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
26: [[11, 3], [1, 2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
27: [[11, 3], [1, 2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
28: [[11, 3], [1, 2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
29: [[11, 3], [1, 2, 5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
30: [[11, 3, 1], [2, 5, 14, 7, 8, 6, 4], [10, 9, 12, 13], [15, 16, 17, 18, 19, 20]]
31: [[11, 3, 1], [2, 5, 14, 7, 8, 10, 9, 6, 4], [12, 13, 15], [16, 17, 18, 19, 20]]
32: [[11, 3, 1, 2], [5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
33: [[11, 3, 1, 2], [5, 14, 7, 8, 10, 6, 4], [9, 12, 13], [15, 16, 17, 18, 19, 20]]
34: [[11, 3, 1], [2, 5, 14, 4, 7, 8, 10, 6], [12, 9], [13, 15, 16, 17, 18, 19, 20]]
35: [[11, 3, 1, 2], [5, 6, 14, 7, 8, 10, 4, 9], [12, 13], [15, 16, 17, 18, 19, 20]]
36: [[11, 3, 1], [2, 5, 14, 4, 7, 8, 6], [10, 12, 9], [13, 15, 16, 17, 18, 19, 20]]
37: [[11, 3, 1], [2, 5, 14, 4, 7, 8, 6], [10, 12, 9], [13, 15, 16, 17, 18, 19, 20]]
38: [[11, 3], [1, 2, 5, 14, 4, 7, 8, 10, 6], [12, 9], [13, 15, 16, 17, 18, 19, 20]]
39: [[11, 3], [1, 2, 5, 14, 4, 7, 8, 10, 6], [12, 9], [13, 15, 16, 17, 18, 19, 20]]
40: [[11, 3, 1, 2], [5, 14, 7, 8, 10, 9, 6, 4], [12, 13, 15], [16, 17, 18, 19, 20]]
41: [[11, 3, 1, 2], [5, 14, 7, 8, 10, 9, 6, 4], [12, 13, 15], [16, 17, 18, 19, 20]]
