0: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
1: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 15, 12], [5, 25], [9, 13, 16, 17, 18, 19, 10], [20, 22], [21, 26, 27], [23, 28, 29]]
2: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 15, 12], [5, 25], [9, 13, 16, 17, 18, 19, 10], [20, 22], [21, 26, 27], [23, 28, 29]]
3: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 15, 12], [5, 25], [9, 13, 16, 17, 18, 19, 10], [20, 22], [21, 26, 27], [23, 28, 29]]
4: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 15, 12], [5, 25], [9, 10, 13, 16, 18, 17, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
5: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
6: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
7: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
8: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
9: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
10: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
11: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
12: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
13: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
14: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
15: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
16: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
17: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
18: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
19: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
20: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
21: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
22: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
23: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
24: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
25: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
