0: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
1: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
2: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
3: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
4: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
5: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
6: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
7: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
8: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
9: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
10: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
11: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
12: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
13: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
14: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
15: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
16: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
17: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
18: [[8, 19, 15, 14, 6, 5, 10, 4], [3, 7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
19: [[8, 19, 15, 14, 6, 5, 10, 4], [3, 7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
20: [[8, 19, 15, 14, 6, 5, 10, 4], [3, 7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
21: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
22: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
23: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
24: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
25: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
26: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
27: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
28: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
29: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
30: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
31: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7, 11], [12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
32: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7, 11], [12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
33: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7, 11], [12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
34: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7, 11], [12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
35: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7, 11], [12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
36: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7, 11], [12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
37: [[8, 19, 15, 14, 6, 5], [10, 4, 3, 7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
38: [[8, 19, 15, 14, 6, 5, 10], [4, 3, 7, 11, 12, 2, 17, 1, 9, 20, 16, 13], [21, 23, 18, 24, 22]]
39: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16], [13, 21, 23, 18, 24, 22]]
40: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16], [13, 21, 23, 18, 24, 22]]
41: [[8, 19, 15, 14, 6, 5, 10, 4], [3, 7, 11, 12, 2, 17, 1, 9, 20, 16], [13, 21, 23, 18, 24, 22]]
42: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13, 21], [23, 18, 24, 22]]
43: [[8, 19, 15, 14, 6, 5, 10, 4, 3], [7, 11, 12, 2, 17, 1, 9, 20, 16, 13, 21], [23, 18, 24, 22]]
44: [[8, 19, 15, 14, 6, 5, 10, 4, 3, 7], [11, 12, 2, 17, 1, 9, 20, 16, 13, 21], [23, 18, 24, 22]]
45: [[8, 19, 15, 14, 6, 5, 10, 4], [3, 7, 11, 12, 2, 17, 1, 9, 20, 16, 13, 21], [23, 18, 24, 22]]
