0: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7, 6, 23, 13], [8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24], [27, 10, 15, 21], [31, 30, 33, 34]]
1: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23, 13], [8, 1], [22, 18, 16], [17, 4, 9], [14, 19, 29, 24, 27], [10, 15, 21], [31, 30, 33, 34]]
2: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24, 27], [10, 15, 21], [31, 30, 33, 34]]
3: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24, 27], [10, 15, 21], [31, 30, 33, 34]]
4: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23, 13], [8, 1, 22], [18, 16], [17, 4, 9], [14, 19, 29, 24], [27, 10, 15, 21], [31, 30, 33, 34]]
5: [[5, 26], [28, 25], [20, 12, 3], [37, 35], [11, 2], [36, 32, 7, 6], [23, 13], [8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24], [27, 10, 15, 21], [31, 30, 33, 34]]
6: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4], [9, 14], [19, 29, 24], [27, 10, 15, 21], [31, 30, 33, 34]]
7: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11], [2, 36, 32], [7, 6, 23, 13], [8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24], [27, 10, 15, 21], [31, 30, 33, 34]]
8: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32], [7, 6, 23], [13, 8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24], [27, 10, 15, 21, 31, 30, 33, 34]]
9: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32], [7, 6, 23], [13, 8, 1], [22, 18, 16, 17], [4, 9], [14, 19], [29, 24, 27], [10, 15, 21], [31, 30, 33, 34]]
10: [[5, 26], [28, 25], [20, 12], [3, 37, 35], [11, 2], [36, 32, 7], [6, 23, 13], [8, 1], [22, 18, 16], [17, 4, 9, 14], [19, 29, 24, 27], [10, 15, 21, 31], [30, 33, 34]]
11: [[5, 26], [28, 25], [20, 12], [3, 37, 35], [11, 2], [36, 32, 7], [6, 23, 13], [8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24], [27, 10, 15], [21, 31], [30, 33, 34]]
12: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2, 36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4], [9, 14], [19, 29, 24, 27], [10, 15, 21, 31], [30, 33, 34]]
13: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2, 36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4], [9, 14], [19, 29, 24, 27], [10, 15, 21, 31], [30, 33, 34]]
14: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23, 13, 8, 1], [22, 18, 16], [17, 4, 9, 14, 19, 29, 24], [27, 10, 15, 21, 31, 30, 33, 34]]
15: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2, 36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4], [9, 14], [19, 29, 24, 27], [10, 15, 21, 31], [30, 33, 34]]
16: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2, 36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4], [9, 14], [19, 29, 24, 27], [10, 15, 21, 31], [30, 33, 34]]
17: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23], [13, 8, 1], [22, 18, 16], [17, 4], [9, 14], [19, 29, 24], [27, 10, 15], [21, 31], [30, 33, 34]]
18: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11, 2], [36, 32, 7], [6, 23], [13, 8, 1], [22, 18], [16, 17], [4, 9, 14, 19], [29, 24, 27, 10, 15, 21], [31, 30, 33, 34]]
19: [[5, 26], [28, 25], [20, 12], [3, 37, 35], [11, 2, 36], [32, 7, 6], [23, 13], [8, 1], [22, 18, 16], [17, 4, 9], [14, 19], [29, 24, 27], [10, 15, 21], [31, 30], [33, 34]]
20: [[5, 26], [28, 25], [20, 12], [3, 37], [35, 11], [2, 36], [32, 7, 6, 23, 13, 8, 1, 22, 18, 16], [17, 4, 9], [14, 19, 29, 24, 27, 10, 15, 21, 31, 30, 33, 34]]
