0: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
1: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
2: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
3: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
4: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
5: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
6: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
7: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
8: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
9: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
10: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
11: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
12: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
13: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
14: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
15: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
16: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
17: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
18: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
19: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
20: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
21: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
22: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
23: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
24: [[40, 27, 13, 16, 21, 6], [15, 4, 5, 3, 18, 10], [31, 32, 8, 7, 52, 58], [26, 11, 30, 9, 12, 24], [2, 43, 42, 14, 17, 35], [1, 20, 33, 45, 19, 51], [47, 44, 22, 23, 25, 28], [38, 46, 29, 48, 54, 37], [59, 41, 34, 49, 57, 53], [36, 39, 50, 60, 55, 56]]
