0: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 9, 12, 2]]
1: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 9, 13, 2]]
2: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 9, 13, 2]]
3: [[3, 10, 1, 4], [5], [6, 8, 11], [12, 13, 9, 7, 2]]
4: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
5: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 13, 9, 2]]
6: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 13, 9, 2]]
7: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
8: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
9: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
10: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 9, 13, 2]]
11: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
12: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
13: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 13, 9, 2]]
14: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 9, 13, 2]]
15: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 9, 12, 13, 2]]
16: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
17: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 9, 12, 13, 2]]
18: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 12, 9, 2]]
19: [[3, 10, 1, 4], [5], [6, 8, 11], [13, 7, 9, 12, 2]]
20: [[3, 10, 1, 4], [5], [6, 8, 11], [13, 7, 9, 12, 2]]
21: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 13, 9, 2]]
22: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 12, 13, 9, 2]]
23: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 9, 12, 2]]
24: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 9, 12, 2]]
25: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 9, 12, 2]]
26: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 9, 12, 2]]
27: [[3, 10, 1, 4], [5], [6, 8, 11], [7, 13, 9, 12, 2]]
