0: [[13, 8, 12, 7, 2], [9, 11, 10, 6, 4], [3, 5, 1]]
1: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
2: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
3: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
4: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
5: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
6: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
7: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
8: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
9: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4], [3, 5, 1]]
10: [[13, 8, 12, 2, 7], [9, 11, 10, 6], [4, 3, 5, 1]]
11: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4], [3, 5, 1]]
12: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4], [3, 5, 1]]
13: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4], [3, 5, 1]]
14: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4], [3, 5, 1]]
15: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4], [3, 5, 1]]
16: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4], [3, 5, 1]]
17: [[13, 8, 12, 2], [7, 9, 11, 10, 6, 4], [3, 5, 1]]
18: [[13, 8, 12, 2, 7, 9], [11, 10, 6], [4, 3, 5, 1]]
19: [[13, 8, 12, 2], [7, 9, 11, 10, 6], [4, 3, 5, 1]]
20: [[13, 8, 12, 2], [7, 9, 11, 10, 6], [4, 3, 5, 1]]
21: [[13, 8, 12, 2], [7, 9, 11, 10, 6], [4, 3, 5, 1]]
22: [[13, 8, 12, 2], [7, 9, 11, 10, 6], [4, 3, 5, 1]]
23: [[13, 8, 12, 2], [7, 9, 11, 10, 6], [4, 3, 5, 1]]
24: [[13, 8, 12, 2], [7, 9, 11, 10], [6, 4, 3, 5, 1]]
25: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4, 3], [5, 1]]
26: [[13, 8, 12, 2, 7], [9, 11, 10, 6, 4, 3], [5, 1]]
27: [[13, 8, 12, 2, 7, 9], [11, 10, 6, 4, 3], [5, 1]]
