0: [[2, 1], [11, 7], [6, 3, 13], [8, 5, 12, 4, 9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
1: [[2, 1], [11, 7], [6, 3, 13, 8, 5, 12], [4, 9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
2: [[2, 1], [11, 7], [6, 3, 13, 8, 5, 12], [4, 9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
3: [[2, 1], [11, 7], [6, 3, 13, 8, 5], [12, 4, 9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
4: [[2, 1], [11, 7], [6, 3, 13, 8, 5], [12, 4, 9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
5: [[2, 1], [11, 7], [6, 3, 13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
6: [[2, 1], [11, 7], [6, 3], [13, 8], [5, 12, 4, 9, 15, 10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
7: [[2, 1], [11, 7], [6, 3], [13, 8], [5, 12, 4, 9, 15, 10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
8: [[2], [6, 3], [13, 8], [5, 12, 4, 9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
9: [[2], [6, 3], [13, 8], [5, 12, 4, 9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
10: [[2], [6, 3], [13, 8], [5, 12, 4, 9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
11: [[2], [6, 3], [13, 8], [5, 12, 4, 9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
12: [[2, 1], [11, 7], [6, 3, 13], [8, 5, 12, 4, 9, 15], [10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
13: [[2], [6, 3], [13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
14: [[2], [6, 3], [13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
15: [[2], [6, 3], [13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
16: [[2, 1], [11, 7, 6], [3, 13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
17: [[2, 1], [11, 7, 6], [3, 13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
18: [[2, 1, 11, 7], [6, 3, 13, 8, 5], [12, 4, 9, 15], [10, 14], [18, 16], [19, 17], [22, 20], [21, 23, 24]]
19: [[2], [6, 3, 13, 8, 5], [12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
20: [[2, 1], [11, 7], [6, 3], [13, 8], [5, 12, 4, 9], [15, 10, 14, 18, 16], [19, 17, 22, 20], [21, 23, 24]]
21: [[2], [6], [3, 13, 1], [8, 5, 12, 4, 9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20], [21, 23, 24]]
22: [[2, 1], [11, 7], [6, 3, 13, 8], [5, 12, 4, 9, 15], [10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
23: [[2], [6, 3, 13, 8], [5, 12, 4, 9, 15], [10, 14, 7], [18, 16], [19, 17, 1, 11], [22, 20], [21, 23, 24]]
24: [[2, 1], [11, 7], [6, 3, 13, 8], [5, 12, 4, 9, 15], [10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
25: [[2, 6, 3, 13, 1], [8, 5], [12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20], [21, 23, 24]]
26: [[2, 6, 3], [13, 8, 5], [12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
27: [[2, 1], [11, 7, 6], [3, 13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16, 19, 17], [22, 20], [21, 23, 24]]
28: [[2, 1, 11, 7], [6, 3], [13, 8, 5, 12], [4, 9, 15, 10, 14], [18, 16], [19, 17], [22, 20], [21, 23, 24]]
29: [[2, 1], [11, 7], [6, 3, 13, 8], [5, 12], [4, 9], [15, 10, 14, 18], [16, 19, 17, 22, 20], [21, 23, 24]]
30: [[2, 1], [11, 7], [6, 3, 13, 8, 5, 12, 4], [9, 15], [10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
31: [[2], [6, 3, 13], [8, 5], [12, 4], [9, 15, 10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 1], [21, 23, 24]]
32: [[2, 1], [11, 7], [6, 3, 13, 8, 5, 12, 4], [9, 15], [10, 14], [18, 16], [19, 17, 22, 20, 21], [23, 24]]
33: [[2, 1, 11, 7, 6], [3, 13, 8, 5], [12, 4], [9, 15], [10, 14], [18, 16], [19, 17, 22, 20], [21, 23, 24]]
34: [[2], [6, 3], [13, 8], [5, 12], [4, 9, 1], [15, 10, 14, 18, 16, 11, 7], [19, 17, 22, 20], [21, 23, 24]]
35: [[2], [6, 3], [13, 8], [5, 12], [4, 9, 1], [15, 10, 14, 18, 16, 11, 7], [19, 17, 22, 20], [21, 23, 24]]
36: [[2, 1, 11, 7], [6, 3], [13, 8], [5, 12, 4, 9, 15], [10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
37: [[2, 1], [11, 7], [6, 3, 13, 8, 5, 12], [4, 9], [15, 10], [14, 18, 16], [19, 17, 22, 20], [21, 23, 24]]
38: [[2, 1], [11, 7], [6, 3], [13, 8, 5, 12, 4, 9], [15, 10], [14, 18], [16, 19, 17, 22, 20], [21, 23, 24]]
39: [[2], [6, 3, 13, 8], [5, 12, 4], [9, 15], [10, 14], [18, 16, 11, 7], [19, 17, 22, 20, 21, 1], [23, 24]]
40: [[2], [6, 3], [13, 8], [5, 12, 4, 9], [15, 10, 11, 7], [14, 18], [16, 19, 17, 22, 20, 1], [21, 23, 24]]
41: [[2, 1], [11, 7], [6, 3], [13, 8], [5, 12, 4, 9], [15, 10, 14, 18, 16, 19], [17, 22, 20, 21], [23, 24]]
42: [[2, 1], [11, 7], [6, 3], [13, 8], [5, 12, 4, 9, 15, 10, 14], [18, 16], [19, 17, 22], [20, 21, 23, 24]]
43: [[2, 1], [11, 7], [6, 3], [13, 8, 5, 12], [4, 9, 15, 10, 14, 18], [16, 19, 17, 22], [20, 21], [23, 24]]
44: [[2, 1, 11], [7, 6], [3, 13], [8, 5, 12, 4, 9, 15], [10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
45: [[2, 1, 11, 7, 6], [3, 13, 8], [5, 12], [4, 9], [15, 10, 14, 18, 16], [19, 17], [22, 20], [21, 23, 24]]
46: [[2, 6], [3, 13, 1], [8, 5], [12, 4], [9, 15], [10, 14, 18], [16, 19, 17, 22, 20, 11, 7], [21, 23, 24]]
47: [[2], [6, 3], [13, 8, 5, 12], [4, 9, 1], [15, 10], [14, 18], [16, 19, 17, 22, 11, 7], [20, 21, 23, 24]]
48: [[2], [6, 3], [13, 8, 5, 12, 4], [9, 15, 10], [14, 18], [16, 19, 1], [17, 22, 11, 7], [20, 21, 23, 24]]
49: [[2, 1], [11, 7, 6], [3, 13], [8, 5, 12, 4], [9, 15, 10, 14, 18], [16, 19], [17, 22], [20, 21, 23, 24]]
