0: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41], [35, 33], [42, 32, 38], [34, 39, 44], [40, 47], [45, 46], [51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60, 63], [64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82], [81, 80, 86, 83, 85], [84, 87, 88]]
1: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41], [35, 33], [42, 32, 38], [34, 39, 44], [40, 47], [45, 46], [51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60, 63], [64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82], [81, 80, 86, 83, 85], [84, 87, 88]]
2: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43, 36], [41, 35, 33], [42, 32, 38], [34, 39], [44, 40, 47], [45, 46, 51], [50, 56], [61, 48, 53], [49, 54, 52], [55, 57], [59, 58, 60, 63], [64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
3: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41], [35, 33], [42, 32, 38], [34, 39, 44], [40, 47], [45, 46], [51, 50, 56], [61, 48, 53], [49, 54, 52, 55, 57, 59, 58, 60, 63], [64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86], [83, 85, 84, 87, 88]]
4: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62], [43, 36, 41], [35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45, 46], [51, 50, 56, 61], [48, 53, 49], [54, 52, 55, 57], [59, 58, 60, 63], [64, 71], [67, 65, 66, 78, 76, 68, 69, 70, 75, 72], [73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
5: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43, 36], [41, 35], [33, 42, 32, 38], [34, 39, 44, 40], [47, 45, 46, 51, 50, 56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
6: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20, 17], [16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41], [35, 33], [42, 32, 38, 34], [39, 44, 40], [47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54], [52, 55, 57, 59], [58, 60, 63, 64], [71, 67, 65, 66], [78, 76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82, 81], [80, 86, 83], [85, 84], [87, 88]]
7: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8, 11], [30, 22], [12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27, 29], [25, 28, 31], [62, 43, 36], [41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61, 48], [53, 49], [54, 52, 55], [57, 59, 58], [60, 63], [64, 71, 67], [65, 66], [78, 76, 68, 69], [70, 75, 72, 73], [74, 77], [79, 82], [81, 80, 86], [83, 85, 84], [87, 88]]
8: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43, 36], [41, 35], [33, 42, 32], [38, 34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54, 52], [55, 57, 59, 58], [60, 63, 64], [71, 67, 65, 66], [78, 76, 68, 69], [70, 75, 72], [73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
9: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27, 29], [25, 28, 31], [62, 43, 36], [41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51], [50, 56, 61, 48], [53, 49, 54], [52, 55], [57, 59, 58, 60, 63, 64, 71, 67], [65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
10: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27], [29, 25, 28, 31], [62], [43, 36, 41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54, 52], [55, 57, 59, 58], [60, 63, 64], [71, 67, 65, 66], [78, 76, 68], [69, 70, 75, 72], [73, 74, 77, 79, 82, 81, 80, 86, 83, 85], [84, 87, 88]]
11: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43, 36], [41, 35], [33, 42, 32], [38, 34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61], [48, 53, 49], [54, 52, 55], [57, 59, 58, 60], [63, 64], [71, 67, 65], [66, 78, 76, 68], [69, 70, 75, 72], [73, 74, 77], [79, 82, 81], [80, 86, 83, 85, 84, 87, 88]]
12: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43], [36, 41, 35], [33, 42], [32, 38, 34], [39, 44, 40], [47, 45, 46, 51], [50, 56], [61, 48, 53], [49, 54, 52], [55, 57, 59, 58, 60, 63, 64, 71, 67], [65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84], [87, 88]]
13: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27], [29, 25, 28, 31], [62], [43, 36, 41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54], [52, 55, 57, 59, 58, 60, 63], [64, 71, 67, 65, 66, 78, 76, 68, 69, 70], [75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
14: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16], [18, 21, 23], [26, 24, 27], [29, 25, 28], [31, 62, 43], [36, 41, 35], [33, 42, 32], [38, 34], [39, 44, 40], [47, 45, 46], [51, 50, 56], [61, 48, 53], [49, 54], [52, 55, 57], [59, 58], [60, 63, 64], [71, 67, 65, 66], [78, 76, 68], [69, 70, 75], [72, 73, 74, 77], [79, 82, 81], [80, 86, 83], [85], [84, 87, 88]]
15: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26], [24, 27, 29], [25, 28, 31], [62, 43], [36, 41], [35, 33, 42], [32, 38, 34, 39], [44, 40, 47, 45], [46, 51, 50], [56, 61, 48, 53], [49, 54, 52], [55, 57, 59, 58], [60, 63, 64, 71, 67, 65, 66, 78, 76, 68], [69, 70, 75], [72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
16: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27], [29, 25, 28, 31], [62], [43, 36, 41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61, 48], [53, 49], [54, 52, 55], [57, 59, 58], [60, 63, 64, 71], [67, 65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
17: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24], [27, 29, 25], [28, 31, 62, 43], [36, 41, 35], [33, 42, 32], [38, 34, 39, 44], [40, 47, 45, 46], [51, 50, 56, 61], [48, 53, 49, 54], [52, 55, 57], [59, 58], [60, 63, 64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82], [81, 80, 86, 83, 85], [84, 87, 88]]
18: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43, 36], [41, 35, 33], [42, 32, 38, 34], [39, 44, 40, 47, 45, 46, 51, 50, 56, 61], [48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76], [68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
19: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43, 36], [41, 35, 33], [42, 32, 38, 34], [39, 44, 40, 47, 45, 46, 51, 50, 56, 61], [48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76], [68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
