0: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
1: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
2: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
3: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
4: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
5: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
6: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
7: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
8: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
9: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
10: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
11: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
12: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
13: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
14: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
15: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
16: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
17: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
18: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
19: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
20: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
21: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
22: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
23: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
24: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
25: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
26: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
27: [[5, 3, 1], [9, 8, 4, 6], [11], [10, 12, 13, 2, 7]]
