0: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21], [25, 28], [30, 16, 29, 32, 26, 13], [36]]
1: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27], [22, 4, 10], [19, 20, 15], [2], [6, 23], [7, 1], [9, 8, 11], [37, 17], [21, 25, 28], [30, 16, 29, 32], [26, 13, 36]]
2: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27], [22, 4], [10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17], [21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
3: [[35, 5, 12], [31, 34, 33], [18, 14, 3, 24], [27], [22, 4, 10, 19, 20], [15, 2, 6], [23, 7, 1, 9], [8, 11, 37], [17, 21, 25, 28], [30, 16, 29, 32], [26, 13, 36]]
4: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21], [25, 28, 30], [16, 29, 32, 26, 13, 36]]
5: [[35, 5, 12], [31, 34], [33], [18, 14], [3, 24, 27], [22, 4, 10, 19, 20, 15], [2, 6, 23, 7, 1], [9, 8, 11, 37, 17, 21], [25, 28], [30, 16, 29, 32, 26, 13], [36]]
6: [[35, 5, 12], [31, 34], [33, 18, 14], [3, 24, 27, 22, 4, 10], [19, 20, 15], [2], [6, 23, 7, 1, 9], [8, 11, 37, 17], [21, 25, 28], [30, 16, 29, 32, 26, 13], [36]]
7: [[35, 5, 12], [31, 34, 33], [18, 14], [3], [24, 27, 22, 4, 10], [19, 20, 15], [2, 6, 23], [7], [1, 9, 8, 11, 37, 17], [21, 25, 28], [30, 16, 29, 32], [26, 13, 36]]
8: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22, 4, 10, 19, 20, 15], [2, 6, 23], [7], [1, 9, 8, 11, 37, 17], [21, 25], [28, 30, 16, 29, 32, 26, 13], [36]]
9: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22, 4, 10, 19, 20, 15], [2, 6, 23], [7], [1, 9, 8, 11, 37, 17], [21, 25], [28, 30, 16, 29, 32, 26, 13], [36]]
10: [[35, 5, 12, 31], [34], [33, 18, 14, 3, 24, 27], [22, 4, 10], [19, 20, 15], [2, 6, 23], [7, 1, 9], [8, 11, 37, 17], [21, 25, 28], [30, 16, 29, 32, 26, 13], [36]]
11: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27], [22, 4, 10, 19, 20, 15, 2], [6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
12: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10, 19], [20, 15, 2, 6, 23, 7], [1, 9, 8, 11, 37, 17, 21], [25, 28, 30, 16, 29, 32], [26, 13], [36]]
13: [[35, 5, 12], [31, 34, 33], [18], [14, 3], [24, 27, 22], [4, 10, 19], [20, 15, 2, 6], [23, 7, 1], [9, 8, 11, 37, 17, 21], [25, 28], [30, 16, 29, 32, 26, 13], [36]]
