0: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
1: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
2: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
3: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
4: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
5: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
6: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
7: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
8: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
9: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
10: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
11: [[8, 11], [5, 10, 2], [6, 9], [3, 1, 4], [13, 12, 7]]
12: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
13: [[8, 11, 5], [10, 2, 6, 9, 3, 1, 4], [13, 12, 7]]
14: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
15: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
16: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
17: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
18: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
19: [[8, 11], [5, 10], [6, 9, 2], [3, 1, 4], [13, 12, 7]]
20: [[8, 11], [5, 10], [6, 9, 3, 1, 4, 2], [13, 12, 7]]
21: [[8, 11, 5], [10, 2], [6, 9, 3], [4, 1], [13, 12, 7]]
22: [[8, 11], [5, 10], [6, 9, 3, 4], [1, 13, 12, 7, 2]]
23: [[8, 11], [5, 10], [6, 9, 3, 4], [1, 13, 2], [12, 7]]
24: [[8, 11], [5, 10], [6, 9, 3, 4], [1, 13, 12, 2, 7]]
25: [[8, 11], [5, 10], [6, 9, 3, 4], [1, 13, 12, 2, 7]]
26: [[8, 11], [5, 10, 2], [6, 9, 3, 1, 4, 13, 12, 7]]
27: [[8, 11], [5, 10], [6], [9, 3, 4], [1, 13, 12, 2, 7]]
